A: 	ok deze hebben een soort dienblad tenminste daar moeten ik het heel erg aan denken en aan de ander kant van het glas zitten 
A: 	ja best wel nog een breed uitsteeksel en daar bovenop zitten weer iets wat uitlopen 
B: 	ja soort van spijker of zo maar dan 
A: 	ja 
B: 	ok dat zijn L 
B: 	ja dit zijn zo'n soort van kop met een dienblad en links en met zo'n spijker 
A: 	dat zijn zeven 
A: 	dit zijn weer met het dienblad 
A: 	met die spijker zo naar achter zeggen maar 
B: 	ja even kijken waar hij staan 
B: 	dat zijn C 
B: 	ja dit zijn met dat dienblad en die spijker 
A: 	ja dat zijn één 
A: 	o dit zijn het dienblad 
B: 	ja met die spijker 
A: 	ja 
B: 	ok dat zijn A 
B: 	ja dit zijn met dat dienblad en die schroef spijker 
A: 	ja dat zijn dertien 
