A: 	oké dit zijn diegene met een half ja zo noemen ik half kegel erbovenop 
B: 	een half 
A: 	en zo'n gek dinge in de aan de zijkant dat uitsteken 
B: 	oké 
B: 	ja 
B: 	met zo'n dik vierkantig uitsteeksel rechts 
A: 	ja precies 
A: 	en links dan nog zo'n schijf klein rond schijf 
B: 	ja 
B: 	ja ja oké dat zijn H 
B: 	ja dit zijn met die soort van piramide op zijn hoofd , of cilinder 
A: 	ja ja ja ja 
B: 	en dan met dat groot blok aan de voorkant zegmaar 
A: 	ja ja ja dat zijn elf 
A: 	ja dit zijn weer met die half kegel aan de bovenkant en dat gek blok aan de rechterkant 
B: 	ja ja dat zijn M 
B: 	dit zijn weer die half cilinder aan de bovenkant met dat blok aan de voorkant 
A: 	ja waar zijn hij 
A: 	ja oké 
A: 	een 
A: 	dit zijn weer met die kegel Erboven , half kegel Erboven , en dat gek blok in de rechterkant 
B: 	ja 
B: 	oké ja dat zijn I 
B: 	ja dit zijn echt met die cilinder aan de bovenkant 
B: 	met die groot balk aan de voorkant 
B: 	of blok 
A: 	ja groot balk aan de voorkant 
A: 	zoeken waar zijn hij 
A: 	ja ja aan de rechterkant toch 
B: 	ja ja 
A: 	ja oké drie 
