A: 	er zitten een bovenop zitten een driehoek met twee staaf aan de zijkant eruit 
B: 	ja 
A: 	en dan zitten ervoor nog een neus en daaronder nog een staart 
B: 	ja 
A: 	en aan de zijkant ook nog iets 
B: 	ik zien wat je bedoelen het zitten zitten alsof er iets erop zitten 
A: 	ja 
B: 	E 
B: 	dit zijn alsof er een vierkant in de kop zijn zetten met twee gelijk pixelachtig dinget erin 
B: 	er zitten een staart aan de onderkant 
B: 	alsof dat vierkantje in dat kop zijn zetten 
B: 	je zien nog groot deel van het vierkant en uit dat vierkantje komen twee gelijk figuur 
A: 	ja 
A: 	met 
B: 	en aan de linkerkant de rechterkant zitten een heel klein figuurt en net iets daaronder zitten een iets groot figuur 
B: 	en aan de onderkant een soort van glijbaan 
A: 	ja 
B: 	staart 
A: 	ja 
B: 	ja 
A: 	ja en aan de bovenkant zijn de driehoek 
B: 	ja 
A: 	ja 
A: 	ja 
B: 	driehoek , oké 
A: 	negen 
A: 	bovenop zitten een driehoek met twee van die pixelachtig dinge daaruit 
A: 	onderop zitten die staart 
A: 	en dan hebben je nog voor en aan de rechterkant nog twee dinget eruit komen 
B: 	wachten even , nog een keer 
A: 	bovenop die driehoek 
B: 	ja 
A: 	met twee pixel dinget 
B: 	en twee dinget eruit 
A: 	ja 
B: 	ja 
A: 	en dan een staart aan de onderkant 
B: 	ja 
B: 	oké 
A: 	ja 
B: 	d 
B: 	moeten nog even zoeken 
B: 	zitten een driehoek bovenop met twee gelijk dinge aan de zijkant 
B: 	driehoek zitten op de kop erin 
B: 	staart aan de onderkant 
A: 	zitten er aan de rechterkant twee streep uit 
B: 	ja 
A: 	ja 
A: 	oké vijfteen 
A: 	driehoek aan de bovenkant met twee van die pixeldinget eruit 
B: 	ja 
B: 	L 
B: 	driehoek op bovenkant , twee dinge die eruit komen 
A: 	ja 
A: 	en een staart aan de ander kant 
B: 	ja 
A: 	vijf 
