A: 	oké dit zijn de bovenkant 
A: 	die hebben een soort piramide of een driehoek erop staan en dat zijn de enig die dat hebben 
B: 	als het een piramide zijn dan weten ik het 
A: 	ja 
A: 	en hij hebben aan de linkerkant ook een klein uitstulpel eigenlijk aan de onderkant een cirkel maar die je niet helemaal zien 
A: 	oké 
B: 	dan zijn het F 
A: 	top 
A: 	dat zijn een heel snel 
B: 	dit zijn met een piramide op het kop 
A: 	gewoon helemaal de piramide 
B: 	ja 
A: 	oké nummer dertien 
A: 	een rechthoek bovenop 
A: 	of rechthoek ik bedoelen een driehoek 
A: 	bovenop het kop , enig driehoek , heel groot , de piramide 
B: 	de piramide 
A: 	ja 
B: 	oké C 
A: 	de piramide 
B: 	de piramide die op het kop staan 
A: 	nummer tien 
A: 	de piramide 
B: 	d 
B: 	de piramide 
B: 	op het kop 
A: 	ja nummer elf 
