A: 	oké 
A: 	ik onthield deze met het bolle of het het balle 
A: 	er zitten een soort van het zijn eigenlijk volgens mij het enig kop met één met een balle dat erbovenop liggen 
B: 	ja 
B: 	en dan twee van die 
A: 	staven aan de zijkant en een lang aan de voorkant 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	dat zijn nummer D bij mij 
B: 	deze hebben we al hebben maar die krijgen we opnieuw volgens mij 
A: 	ja het zijn volgens mij nu ook verwisseld allemaal 
A: 	de locatie zijn anders ineens 
B: 	ja inderdaad ja 
A: 	oké 
B: 	ja dit zijn weer die bal die boven op die korf liggen 
B: 	ja met die steeksel 
A: 	ja 
A: 	oké 
A: 	dat zijn vijftien 
A: 	oké dit zijn die met het balle bovenop 
B: 	ja dat zijn L 
B: 	dit zijn die met dat balle op het op op de korf 
A: 	dat zijn zes 
A: 	dit zijn die met het balle bovenop 
B: 	ja dat zijn J 
B: 	dit zijn de bal op de korf 
A: 	drie 
