A: 	en dan klik ik 
A: 	dan komen die 
A: 	ja een emmer met een ja het uiteinde van een pollepel zullen ik zeggen 
B: 	waar zitten die uiteinde op 
A: 	in de emmer dus dat zijn helemaal erbovenop 
A: 	aan de bovenkant 
A: 	en daarvoor komen een een rond stuk eruit 
A: 	en horizontaal door dat door die rond uitstulping zijn er een vierkant staaf die met één die een uiteinde hebben dat uitmonden in een rond cirkel 
B: 	oké ik denken dat ik misschien weten 
B: 	hebben hij bovenop ook iets 
A: 	ja bovenop zijn dus die die die pollepel die er zo uitsteken 
A: 	een een één 
B: 	oké een beetje aan de linkerkant van het midden 
A: 	ja 
A: 	linkerkant van het midden ja 
B: 	ja en daarvoor hebben hij zegmaar een bal 
A: 	ja een bal 
B: 	ja en dan links een stuk staaf 
A: 	ja 
A: 	link een stuk staaf , rechts een stuk staaf en 
B: 	rechts een stuk staaf 
B: 	en een rond aan de rechterkant 
A: 	ja aan het uiteinde van die staaf zijn aan de rechterkant inderdaad een ja een cirkel een rond 
B: 	ja oké 
A: 	ja 
B: 	ja dat zijn P 
B: 	deze hebben een balle rechtsvoor 
B: 	en links en rechts zitten daar een staaf aan 
B: 	en aan de rechterkant een cirkel 
B: 	en bovenop hebben hij een ja soort stok appel iets 
A: 	ja 
A: 	ja 
A: 	met een soort zuignap lijken het wel , ik vinden die staaf en dat dat cirkelt zo zuignap dat je zo tegen de muur kunnen drukken 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	nummer negen 
A: 	deze zijn met de zuignap 
A: 	die je zo vast kunnen maken 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die zuignap 
A: 	ja 
A: 	waar zijn hij 
A: 	ja nummer zes 
A: 	dit zijn met het zuignap 
B: 	ja ik zoeken hem 
B: 	ja dat zijn C 
B: 	dit zijn de zuignap 
A: 	ja 
A: 	nummer zes 
