A: 	hier hebben je twee balk die rechts eruit komen 
A: 	tweedimensionaal 
A: 	rechthoeak eigenlijk 
A: 	die recht boven elkaar staan die rechts uit de emmer komen 
A: 	en bovenop hebben je een soort trechtervorm die op zijn kop staan 
B: 	ja i 
B: 	deze hebben die twee rechthoek boven elkaar aan de rechterkant van de emmer 
B: 	bovenop hebben het op zijn kop de omdraaien trechter of heten dat een trapezoid 
B: 	en aan de aan de linkerkant hebben hij soort van 
A: 	daar ja 
A: 	twee 
B: 	ja 
A: 	deze hebben die trechter bovenop omgekeerd 
A: 	en twee balk aan de rechterkant 
B: 	ja 
B: 	ja c 
B: 	dit zijn die een met die twee blok nee twee rechthoek aan de rechterkant bovenop elkaar 
B: 	en die omdraaien trechter bovenop 
A: 	even zoeken 
A: 	daar negen 
A: 	die hebben die omgekeerde trechter bovenop 
B: 	o 
B: 	dit zijn die een met op zijn kop trechter bovenop en twee blok aan de rechterkant 
A: 	ja vier 
