A: 	dan zijn er nou één met een ja een uitsteeksel dat een beetje achtvormig lijken 
A: 	met één na ja dat zijn niet zo goed beschrijving een uitsteeksel naar de linkerkant 
A: 	en op dat uitsteeksel lijken wel alsof er een beetje schuin een soort spijker tegenaan staan 
A: 	of op , op staat 
A: 	en aan de rechterkant hebben hij ook een klein uitsteeksel en dat lijken een beetje op een dienblad en je uitzien ook nog een heel klein armp dat dat dienblad op zijn plek houden 
B: 	ja en zo'n heel groot ding links naar boven 
B: 	zoiets 
A: 	ja 
A: 	ja links daarboven dat zijn wat ik zullen zeggen die spijker met een plat kop en die worden steeds puntig naar dat uitsteeksel toe 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	dat zijn H 
B: 	ja dit zijn die met dat dienblad wat jij zeggen 
A: 	ja 
B: 	rechts dat dienblad en links die spijker 
A: 	even kijken 
A: 	ja 
A: 	en die spijker 
B: 	ja 
A: 	ja nummer zeven 
A: 	deze zijn met het dienblad en de spijker 
B: 	ja dat zijn N 
B: 	dit zijn het dienblad aan de rechterkant 
B: 	en een spijker links 
A: 	ja ja ja nummer drie 
A: 	deze zijn met de spijker en het dienblad rechts 
B: 	J 
B: 	dit zijn dat dienblad en een spijker links 
A: 	ja 
A: 	nummer zeven 
