A: 	ok deze hebben best wel veel uitstekel aan de bovenkant een soort ovaal en ook een beetje aan de voorkant naar links toe dezelfde ovaal 
A: 	en dan aan de rechterkant aan de voorkant een soort van vierkant en dan boven dat ovaal aan de linkerkant zitten ook nog een gek uitsteeksel 
B: 	o ja ik ja ik weten denken ik wel welk je bedoelen dat zijn bij mij E 
A: 	ok bij mij elf 
B: 	ok 
B: 	dit zijn ja weer dat dinge met dat met dat ovaal dinge aan de bovenkant ovaal dinget zeggen maar aan de linkerkant en die 
B: 	blok aan de rechterkant en achter nog iets van een slurf of zo 
A: 	die waar we eigenlijk geen naam voor hebben 
B: 	ja 
A: 	okan ja bij mij zijn dat elf 
B: 	ok bij mij F 
A: 	ok 
A: 	dit zijn weer die een met die twee ovaal uitsteeksel waar we volgens mij de enig waar we niet echt een omschrijving voor hebben en die ja 
B: 	o die met die vierkant ook ja dat zijn bij mij J 
A: 	ja 
A: 	bij mij drie 
B: 	ok 
B: 	ja het doen mij een beetje denken aan een miereneter van achteren of zo ja met vanwege die toet zo 
A: 	Miereneter 
A: 	o nou dan houden we het daar op 
B: 	ja 
B: 	dit zijn zeggen maar die bij mij op de miereneter zeggen maar op de van achter 
A: 	ja 
A: 	even zoeken waar hij staan ja dat zijn negen bij mij 
B: 	ok bij mij H 
A: 	ok 
A: 	dit zijn die miereneter 
B: 	even kijken waar die zijn o daar B 
B: 	h even kijken 
A: 	ja twee bij mij 
B: 	ok 
B: 	o dit zijn de miereneter van 
A: 	ja zijn vier bij mij 
B: 	ok bij mij E 
