A: 	oké 
A: 	deze hebben zo een beetje zo'n afgeplatte piramide zo'n conusje 
B: 	ja 
A: 	met twee van die uitstekend ding een beetje alsof er een vis op zijn zijkant liggen met twee van die uitstekend vinne zo 
B: 	zijn dat die dat istek waar ik het net over hebben denken ik 
A: 	ja dat ja ja ja inderdaad 
B: 	oké ja dat zijn I bij mij 
A: 	oké 
B: 	precies het zijn oké het zijn die met dat soort van isteken aan de zijkant 
A: 	ja en dat conusje bovenop 
B: 	yes 
A: 	ja nummer twee 
B: 	ja 
A: 	oké ik hebben weer die dat istekentje aan de zijkant met dat afgeplaten conusje erbovenop 
B: 	ja dat zijn M bij mij 
B: 	weer met dat istekentje aan de zijkant 
A: 	oké ja nummer negen 
B: 	Alright 
A: 	het istekentje met dat conusje bovenop 
B: 	oké even zoeken 
B: 	ja F bij mij 
B: 	weer met dat istek 
A: 	isteken nummer zes 
