A: 	dit zijn één ja ik willen ik willen deze het feesthoed noemen maar dan met een met een afstolping laten maar zeggen 
A: 	dus het zijn niet helemaal feest 
B: 	met een gek neus erop 
A: 	ja met een gek neus erop wat naar één kant wijzen 
B: 	ja 
B: 	naar de rechterkant kijken die dan 
A: 	ja en hij hebben laten maar zeggen aan aan één arm hebben die twee plaat zitten 
B: 	ja 
A: 	ja 
B: 	een rond en een ja 
A: 	wat ? een rond 
B: 	ja 
A: 	ja 
A: 	nee het zijn een 
B: 	het zijn lijken het op een vogel 
A: 	dat zullen je zo 
B: 	hebben die twee van die stok zeggen maar twee van die 
A: 	twee stok ja 
B: 	ik vinden het op het Twittervogeltje lijken 
A: 	dat zullen ook kunnen 
A: 	ja maar ik vinden hem ja in ieder geval dat zijn hem denken ik met zo'n met zo'n neus wat naar één kant wijzen een beetje raar neusje hebben die 
B: 	ja 
B: 	precies ja 
A: 	en een soort van raar staart wat die dan nog ver hebben 
B: 	precies dus hij hebben vier uitstulping 
A: 	ja 
A: 	ja 
B: 	waarvan er twee zo 
A: 	ja 
A: 	als je de hoed meetelen dan zijn het er vijf 
B: 	ja oké dan vijf inderdaad 
A: 	ja 
B: 	maar de twee stok dat die lopen parallel aan elkaar 
A: 	ja 
A: 	ja 
B: 	kijken 
A: 	ik denken dat ja 
B: 	oeh dan hebben we niet dan hebben we de I 
B: 	het zijn de I 
B: 	ik zitten even te kijken of het de hoofdletter maar het zijn een hoofdletter 
B: 	dit zijn het vogel zeggen maar met het feestmutsje dat niet helemaal af zijn 
A: 	ja 
B: 	met die twee parallel blok 
A: 	ja 
A: 	ja dat zijn dan Numero twee 
A: 	dit zijn die Pinokkio met die twee uitstellingen en een half hoed 
A: 	dat half hoed 
B: 	het half hoed of het 
A: 	het half hoed en die neus aan de zijkant 
B: 	naar rechts 
A: 	ja en van die twee twee plank 
B: 	ja maar het zijn het heel hoed wat die hebben volgens hebben 
A: 	en en die twee plank 
A: 	hoe noemen we die ook alweer eens 
B: 	nee de Twittervogel zeker 
A: 	de Twittervogel ja 
B: 	oké dan misgaan het dus met die parallel staafjes 
A: 	ja met die parallel plank ja 
B: 	dan gaan het om M de driepoot M 
B: 	dit zijn het vogel Twittervogeltje 
A: 	het Twittervogeltje 
B: 	met de parallel stok 
A: 	ja dat zijn Numero negen 
A: 	jou Twittervogeltje 
B: 	ja dan gaan het om F 
B: 	het nee stoppen het vogel 
A: 	jou jou Twittervogeltje 
B: 	ja 
A: 	dat zijn Numero zes 
