A: 	hier zitten een een cactusding zeggen maar middenin 
A: 	Middenin in het kop 
A: 	en aan de er opsteken er ook nog één uit linksvoor 
B: 	ja ja 
A: 	en rechts zitten zo'n toren van vierkant 
B: 	zo'n soort van sterrenkijk of zoiets 
A: 	en link 
A: 	ja kloppen ja ja 
B: 	ja ? lijken dat op een 
B: 	ja 
B: 	okee ja dan hebben ik hem 
B: 	dat zijn bij mij o 
B: 	deze hebben een cactus bovenop en link 
B: 	en rechts een sterrenkijk 
A: 	ja 
B: 	en nog een haak linksachter 
A: 	link 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vijfteen 
A: 	deze hebben twee van die cactusding één bovenop en één aan linksvoor en een sterrenkijker aan de Rechtervoorkant en nog een ding erachter een cilindertje 
B: 	ja 
B: 	ja 
B: 	dat zijn l 
B: 	een cactus bovenop en links en rechts een sterrenkijk 
A: 	yeslen ja dat zijn zeven 
B: 	ja 
A: 	dit zijn met die twee cactusding erin en aan de linkerkant voor daarboven en een sterrenkijk 
B: 	en de sterrenkijk 
A: 	yes 
B: 	ja dat zijn j 
B: 	dit zijn bovenop en links de cactus en rechts een sterrenkijk 
A: 	even zoeken 
A: 	ja ja dat zijn veertien 
