pair_name,turn_ID,speaker,utterance,target,trial,director,correct_answer,given_answer,accuracy,processed_utterance,pos_sequence,lemmas_sequence,text_lemma_pos,round
pair18,0,B,okee um uh links (?) zit een soort van staafje en aan de achterkant zit een een um een cirkeltje,09,1,B,2,2,1,okee links zit een soort van staafje en aan de achterkant zit een een een cirkeltje,ADJ ADJ VERB DET NOUN ADP NOUN CCONJ ADP DET NOUN VERB DET DET DET NOUN ,okee links zitten een soort van staaf en aan de achterkant zitten een een een cirkelt ,okee_okee#ADJ links_links#ADJ zit_zitten#VERB een_een#DET soort_soort#NOUN van_van#ADP staafje_staaf#NOUN en_en#CCONJ aan_aan#ADP de_de#DET achterkant_achterkant#NOUN zit_zitten#VERB een_een#DET een_een#DET een_een#DET cirkeltje_cirkelt#NOUN ,1
pair18,1,B,zit aan de achterkant die zie je niet zo die zie je maar voor de helft,09,1,B,2,2,1,zit aan de achterkant die zie je niet zo die zie je maar voor de helft,VERB ADP DET NOUN PRON VERB PRON ADV ADV PRON VERB PRON ADV ADP DET NOUN ,zitten aan de achterkant die zien je niet zo die zien je maar voor de helft ,zit_zitten#VERB aan_aan#ADP de_de#DET achterkant_achterkant#NOUN die_die#PRON zie_zien#VERB je_je#PRON niet_niet#ADV zo_zo#ADV die_die#PRON zie_zien#VERB je_je#PRON maar_maar#ADV voor_voor#ADP de_de#DET helft_helft#NOUN ,1
pair18,2,B,en onderaan zit een soort van een um,09,1,B,2,2,1,en onderaan zit een soort van een,CCONJ ADP VERB DET NOUN ADP DET ,en onderaan zitten een soort van een ,en_en#CCONJ onderaan_onderaan#ADP zit_zitten#VERB een_een#DET soort_soort#NOUN van_van#ADP een_een#DET ,1
pair18,3,B,#clicks# uh ja wat is het bovenaan zit trouwens rechtsbovenaan,09,1,B,2,2,1,ja wat is het bovenaan zit trouwens rechtsbovenaan,INTJ PRON AUX PRON NOUN VERB ADV ADV ,ja wat zijn het bovenaan zitten trouwens rechtsbovenaan ,ja_ja#INTJ wat_wat#PRON is_zijn#AUX het_het#PRON bovenaan_bovenaan#NOUN zit_zitten#VERB trouwens_trouwens#ADV rechtsbovenaan_rechtsbovenaan#ADV ,1
pair18,4,A,(zo'n) klein dingetje dat aan de bovenkant steeds breder wordt,09,1,B,2,2,1,zo'n klein dingetje dat aan de bovenkant steeds breder wordt,DET ADJ NOUN PRON ADP DET NOUN ADV ADJ VERB ,zo'n klein dinge dat aan de bovenkant steeds bred worden ,zo'n_zo'n#DET klein_klein#ADJ dingetje_dinge#NOUN dat_dat#PRON aan_aan#ADP de_de#DET bovenkant_bovenkant#NOUN steeds_steeds#ADV breder_bred#ADJ wordt_worden#VERB ,1
pair18,5,B,ja nee nee nee uh ja iets breder wordt inderdaad,09,1,B,2,2,1,ja nee nee nee ja iets breder wordt inderdaad,INTJ INTJ INTJ INTJ INTJ PRON ADJ VERB ADV ,ja nee nee nee ja iets bred worden inderdaad ,ja_ja#INTJ nee_nee#INTJ nee_nee#INTJ nee_nee#INTJ ja_ja#INTJ iets_iets#PRON breder_bred#ADJ wordt_worden#VERB inderdaad_inderdaad#ADV ,1
pair18,6,A,ja,09,1,B,2,2,1,ja,INTJ ,ja ,ja_ja#INTJ ,1
pair18,7,A,iets breder hij is hij is rond aan de bovenkant ook,09,1,B,2,2,1,iets breder hij is hij is rond aan de bovenkant ook,PRON ADJ PRON AUX PRON AUX ADP ADP DET NOUN ADV ,iets bred hij zijn hij zijn rond aan de bovenkant ook ,iets_iets#PRON breder_bred#ADJ hij_hij#PRON is_zijn#AUX hij_hij#PRON is_zijn#AUX rond_rond#ADP aan_aan#ADP de_de#DET bovenkant_bovenkant#NOUN ook_ook#ADV ,1
pair18,8,B,uh ja ja een beetje rond,09,1,B,2,2,1,ja ja een beetje rond,INTJ INTJ DET NOUN ADP ,ja ja een beetje rond ,ja_ja#INTJ ja_ja#INTJ een_een#DET beetje_beetje#NOUN rond_rond#ADP ,1
pair18,9,A,ja linkerkan-,09,1,B,2,2,1,ja,INTJ ,ja ,ja_ja#INTJ ,1
pair18,10,B,en aan de achterkant zit zo'n halve is een scha- (die) uh schijf die (je) maar voor de helft ziet,09,1,B,2,2,1,en aan de achterkant zit zo'n halve is een die schijf die je maar voor de helft ziet,CCONJ ADP DET NOUN VERB DET ADJ AUX NUM DET NOUN PRON PRON ADV ADP DET NOUN VERB ,en aan de achterkant zitten zo'n half zijn een die schijf die je maar voor de helft zien ,en_en#CCONJ aan_aan#ADP de_de#DET achterkant_achterkant#NOUN zit_zitten#VERB zo'n_zo'n#DET halve_half#ADJ is_zijn#AUX een_een#NUM die_die#DET schijf_schijf#NOUN die_die#PRON je_je#PRON maar_maar#ADV voor_voor#ADP de_de#DET helft_helft#NOUN ziet_zien#VERB ,1
pair18,11,A,ik weet het,09,1,B,2,2,1,ik weet het,PRON VERB PRON ,ik weten het ,ik_ik#PRON weet_weten#VERB het_het#PRON ,1
pair18,12,B,ja?,09,1,B,2,2,1,ja,INTJ ,ja ,ja_ja#INTJ ,1
pair18,13,A,*2*,09,1,B,2,2,1,twee,NUM ,twee ,twee_twee#NUM ,1
pair18,14,A,ik heb um #coughs# die ene aan de bovenkant zit ook een klein dingetje die wijst naar links,06,2,A,I,I,1,ik heb die ene aan de bovenkant zit ook een klein dingetje die wijst naar links,PRON AUX DET PRON ADP DET NOUN VERB ADV DET ADJ NOUN PRON VERB ADP ADJ ,ik hebben die een aan de bovenkant zitten ook een klein dinge die wijzen naar links ,ik_ik#PRON heb_hebben#AUX die_die#DET ene_een#PRON aan_aan#ADP de_de#DET bovenkant_bovenkant#NOUN zit_zitten#VERB ook_ook#ADV een_een#DET klein_klein#ADJ dingetje_dinge#NOUN die_die#PRON wijst_wijzen#VERB naar_naar#ADP links_links#ADJ ,1
