B: 	oké 
B: 	deze hebben een soort van een plaat eromheen zitten 
B: 	als je snpen wat ik bedoelen 
A: 	even kijken 
B: 	dat zijn er 
A: 	ik denken dat aan de bovenkant of aan de onderkant 
B: 	ja een beetje aan de onderkant hij hebben zo'n armpjeachtig iets aan de linkerkant 
A: 	zo'n soort van L 
B: 	ja 
A: 	ja oké dan weten ik welk je bedoelen ik denken dat het nummer zes zijn 
A: 	ik hebben die een met dat vierkant laten maar zeggen een beetje aan de onderkant erdoorheen 
A: 	en dan die L aan de linkerkant 
B: 	die 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn die een met dat vlak eromheen 
B: 	dat vierkant zo 
B: 	en de L 
A: 	ja 
B: 	aan de linkerkant 
A: 	ja zijn bij mij nummer dertien 
B: 	oké 
A: 	ik hebben die een met de L aan de linkerkant 
B: 	even kijken 
A: 	en dat vierkant erdoorheen 
B: 	daar 
B: 	dat zijn J 
B: 	dit zijn die een met het vierkant eromheen 
B: 	en de L aan de linkerkant 
A: 	searching sound 
A: 	nummer negen 
A: 	ik hebben degeen met de de L aan de linkerkant 
B: 	dat zijn N 
