A: 	oké one's deze hebben ja ik vinden het een soort een soort dienblad 
A: 	zo'n rond iets dat die aan het vasthouden zijn en dan hebben die links hebben die echt zo'n groot ja trompetachtig iets weten je wel ? echt zo'n uitsteeksel 
B: 	ja 
A: 	ik weten niet of 
A: 	snapan je hem 
B: 	ja 
B: 	het zijn een soort ja zijn een soort van spijker zijn het ook weer wat in daarin zitten zeggen maar 
A: 	ja ja 
A: 	ja 
B: 	ja oké 
B: 	dan zijn het L 
B: 	deze staan nee dit zijn een kop met dat dienblaad en dat spijker in dat oor 
A: 	ja oké even kijken 
A: 	ja ik zien hem 
A: 	nummer zeven 
A: 	dit zijn weten je wel ? met dat dienblad en die spijker 
B: 	ja even zoeken ja dat zijn C 
B: 	dit zijn die met dat dienblad 
A: 	even kijken 
A: 	ah dat zijn nummer één 
A: 	dit zijn met dat dienblad en die spijker 
B: 	ja 
B: 	dat zijn A 
B: 	dit zijn met de dienblad 
A: 	even zijn nummer dertien 
