B: 	oké 
B: 	dan hebben ik die met die twee verrekijkert 
A: 	ah ja 
B: 	ja 
A: 	en dan zo'n zo'n vierkant vlak en een antenne op zich 
B: 	en dan zo'n vierkant dinge aan de zijkant 
B: 	ja 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn de verrekijker 
A: 	met twee binocular zeggen maar 
B: 	met twee 
B: 	even kijken waar die staan 
B: 	daar 
B: 	G 
A: 	ja 
B: 	oké dit zijn met die twee verrekijker en die antenne 
A: 	ja nummer negen 
A: 	ik hebben de verrekijker met twee 
B: 	met twee dat zijn D 
A: 	ja 
B: 	dit zijn met die dubbel verrekijker 
A: 	ja nummer één 
B: 	die zijn wisselen met die penseel van mij volgens mij 
A: 	ah ja 
B: 	ja 
A: 	de verrekijker met twee 
B: 	even kijken dat zijn bij mij B 
