A: 	ja deze kop 
A: 	soort van dienblad wat eruit opsteken aan de rechterkant en dan een beetje onder het midden 
A: 	en dan links een soort ja raar vormp en daar steken een soort spijker uit zeggen maar 
B: 	ja ja 
B: 	dat zijn bij mij nummer L 
B: 	dit zijn die met dat dienblad van jou 
B: 	dat die aan de rechterkant van het kop en dan die met die spijker in die arm 
B: 	die zo met dat raar vorm van die arm 
A: 	spijker 
B: 	ja vooral dat dienblad rechts zijn kenmerken 
A: 	ja ja ja ja ja nee ik ik zijn ja ja 
A: 	dat zijn nummer zeven 
A: 	dat kop met het dienblad 
A: 	en het stuk iets met een spijker erin 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn dat ding met dat dienblad aan de rechterkant 
B: 	met die spijker in zijn arm 
B: 	zullen ik maar zeggen 
A: 	ja 
A: 	dat zijn nummer één 
A: 	het beker met het dienblad en de spijker 
B: 	ja 
B: 	A 
B: 	dienblad met de spijker in de arm 
A: 	dienblad met de 
B: 	de dat armp waar dan die spijker zo in zitten 
A: 	ja 
A: 	nummer dertien 
