A: 	deze hebben hebben aan deze kant hebben hij een soort van lijken net of of hij een dienblad vasthouden 
A: 	en aan de ander kant hebben hij een soort van raarvormig neus met een toeter eraan kunnen je zeggen 
B: 	ja ik zien hem dat zijn o bij mij 
B: 	deze hebben dat dienblad vast en links een gek vorm arm met een uitsteeksel omhoog 
A: 	ja zo'n toeter 
B: 	link 
B: 	ja 
A: 	dat zijn vijfteen 
A: 	deze die houden de weer zo'n dienblad vast met de toeter 
A: 	dienblad en toeter 
B: 	even kijken waar die staan hoor 
B: 	ja dat zijn b 
B: 	dit zijn die het dienblad vasthouden en de toeter 
A: 	ja dat zijn nummer acht 
A: 	deze hebben de dienblad en de toeter 
B: 	ja even zoeken hoor 
B: 	ja m 
B: 	dit zijn die met het dienblad en de 
A: 	toeter 
B: 	toeter 
B: 	ik willen zeggen schijnwerper 
A: 	nummer twaalf 
