B: 	ik hebben in principe één de de mok worden van zeggen maar van bovenaf filmen of fotograferen en dan 
B: 	hebben je een vierkantje ervoor een uitsteeksel met twee plat vorm en twee blokkig uitsteeksel aan de linkerkant die taps toelopen 
A: 	ja 
A: 	dat zijn nummer twee hier 
B: 	ja 
A: 	ja 
B: 	yes 
A: 	dit zijn het kop met aan de linkerkant twee handvat met 
A: 	blok die groot beginnen en steeds klein worden 
A: 	aan de bovenkant zitten een een soort van prikkertje en daarvoor een vierkant blok plat 
A: 	plat vierkant blok 
B: 	en er zitten dan aan zijd die blok die taps toelopen 
A: 	nee aan één kant 
B: 	aan de linkerkant 
A: 	allebei aan de linkerkant 
B: 	ja dat zijn bij mij G 
A: 	ja 
B: 	ik hebben de basisvorm van bovenaf bezien 
B: 	voor een vierkant 
B: 	bovenop een soort uitsteeksel met daar twee wat platt rond vorm op en dan links twee blok yes 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen hier 
A: 	dit zijn de mok die aan de linkerkant twee handvat hebben maken van groot naar klein lopen blok 
B: 	ja 
A: 	een vierkant plakkaat aan de voorkant en een soort antenne aan de bovenkant 
B: 	ja dat zijn bij mij nummer D 
B: 	ik hebben degeen met de het plat vierkant voor 
B: 	link zitten dan die twee ja blocks blok die dan taps toelopen met daarboven 
A: 	ja 
A: 	een antenne 
B: 	yes 
B: 	ja 
A: 	ja nummer één 
A: 	dit zijn de mok die aan de linkerkant twee dezelfde hengsel hebben met die blok die van groot naar klein gaan 
B: 	ja 
A: 	en een vierkant aan de voorkant en een antenne aan de bovenkant 
B: 	ja 
B: 	d 
