B: 	oké 
A: 	even kijken hoor dit figuur hebben een een bolle bovenop 
A: 	en als ik zo kijken zijn dat de enig die dat hebben 
B: 	ja dus 
A: 	hij hebben ook een balk ervoor staan 
B: 	één en dan twee van die uitsteeksel naar links en rechts 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	dat zijn D 
B: 	oké dit zijn die hebben we net hebben twee uitsteekselt een balle bovenop volgens mij ja de enig met een balle bovenop 
A: 	met een balk ervoor 
B: 	balk ervoor twee uitsteeksel naar rechts 
A: 	ja 
A: 	nummer vijftien 
A: 	even kijken dit zijn aan de beide kant opsteken er iets uit dit zijn de enig met een bolle erop 
B: 	ja 
B: 	oké dat zijn L 
B: 	bolle bovenop 
A: 	bolle bovenop met een balk ervoor 
B: 	met balk ervoor 
A: 	ja dat zijn nummer zes 
A: 	dit zijn de figuur met het balle erbovenop met een balk ervoor 
B: 	balle het enig met het balle erboven toch 
A: 	enig met een balle erbovenop ja 
B: 	dat zijn J 
B: 	oké 
B: 	bolle bovenop staaf ervoor 
A: 	ja dat zijn nummer drie 
