A: 	deze hebben aan de rechterkant een plat rond schijf en aan de linkerkant hebben je een uitsteeksel met daar bovenop nog zo'n heel langwerpig zo'n toeterding 
B: 	ja g 
B: 	dit zijn die de beker waarvan er een horizontaal schijf rechts zitten en dan links zitten nog een uitsteeksel met zo'n heel lang ja kegel 
A: 	ja 
B: 	zo'n spijl erbovenuit 
A: 	en aan de rechterkant zo'n rond schijf toch 
B: 	ja gewoon die plat staan ja 
A: 	ja vijfteen 
A: 	dit zijn de met aan de rechterkant die rond schijf en aan de linkerkant uitsteeksel met daarbovenop die langwerpig 
B: 	ja 
B: 	h 
B: 	deze hebben die rond schijf horizontaal tegen de beker aan uitsteeksel en dan die kegel zo schuin naar Linksboven 
B: 	dus de emmer hebben je en dan hebben je rechts 
A: 	ja 
A: 	twee 
B: 	ja 
A: 	dit zijn die met die die rond schijf aan de rechterkant en dat en dat uitstekend tuu zo Linksboven 
B: 	ja dus die schijf zitten horizontaal 
A: 	ja Horizontaal 
B: 	ja 
B: 	l 
B: 	dit zijn de emmer waar de horizontaal schijf rechts van zitten link de uitsteeksel en dan op dat links links uitsteeksel nog die schijf die kegel 
A: 	ja 
A: 	de rond schijf aan de ja 
B: 	ja 
A: 	drie 
