A: 	ja deze hebben ik als een soort van het zijn een heel dom omschrijving maar ik hebben een soort trechter het hebben zeggen maar aan de linkerkant r 
A: 	helemaal links in het hoek van het plaat hebben het een vierkant ding wat dan smal worden dat lopen weer over 
A: 	op een gek figuur wat aansluisen op dat kop zeggen maar 
A: 	maar aan de rechterkant van het kop hebben je ook nog iets daar zitten een rond cirkel 
B: 	rond plaat waar je in principe een taart op zullen kunnen zetten 
A: 	ja een rond plaat 
A: 	ja precies 
B: 	ja 
A: 	en de linkerkant ja beetje wazig 
B: 	ja 
B: 	ja ja 
B: 	L 
B: 	one's dit zijn die lastig die we net hebben met die rond taarthouder aan de voorkant 
A: 	ah ja oké dat worden dus de taarthouder vanaf nu 
B: 	de taarthouder oké 
A: 	even kijken waar ah daar 
A: 	zeven 
A: 	de taart 
B: 	de taarthouder 
A: 	ja de taarthouder 
B: 	C 
B: 	dit zijn de taarthouder 
A: 	de taarthouder die ja dat zijn één 
A: 	de taarthouder 
B: 	ja 
B: 	A 
A: 	bij mij 
B: 	de taarthouder 
A: 	de taarthouder even kijken 
A: 	ja dertien 
