B: 	ik vinden dit een beetje op twee tafelpoot lijken 
A: 	ja dan weten ik het denken ik wel 
B: 	en daarbovenop liggen een soort omgekeeren piramide zonder top 
A: 	die 
A: 	ja 
B: 	en dan opsteken er nog een dinge omhoog aan de achterkant 
A: 	ja 
A: 	dus zeggen maar gewoon een soort van tafel die erdoorheen zitten 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer zestien 
A: 	ik hebben nu weer die tafel die zo erdoorheen gaan zeggen maar 
B: 	oké 
A: 	met dat piramide op de kop erop 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	deze zijn met een tafel 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer veertien 
A: 	deze zijn met die tafel erdoorheen 
B: 	oké 
B: 	dat zijn bij mij N 
B: 	dit zijn met een tafel 
A: 	oké 
A: 	dat zijn nummer tien 
A: 	dit zijn met die tafel erdoorheen 
B: 	ja 
B: 	dat zijn bij mij d 
