A: 	ja ik hebben het vierkantje nu 
A: 	ja wat ik in het begin denken zeggen maar het hebben ook die die twee zeggen maar 
A: 	ei die lang ei zeggen maar maar dan één op zijn kop en één als een neus 
B: 	oké eventjes kijken 
B: 	kunnen je nog iets veel beschrijven 
A: 	ja het hebben zeggen maar ook of ja wat ik toen denken van die legoblok zeggen maar 
A: 	weten je er zijn er één die zeggen maar twee oog hebben 
A: 	van die heel uit uitgeperste oog zeggen maar 
B: 	even 
A: 	ik weten niet of je die ergens zien 
A: 	gewoon om als voorbeeld te nemen en het hebben zeggen maar zo'n zo'n plat kant aan de zijkant 
A: 	zo'n vierhoek 
B: 	plat kant 
A: 	vierkant bedoelen ik 
A: 	ik weten niet of je die ergens zien 
B: 	nee ik denken dat ik dit heel ander hebben beschrijven toen 
A: 	oké dan gaan we 
B: 	even kijken 
B: 	welk vormp hebben die op zijn hoofd 
A: 	ja een een waterdruppel zeggen maar regendruppel 
A: 	maar dan zijn het twee in in één plaat 
A: 	dus zo'n gewoon zo'n regendruppel maar dan twee 
B: 	ja oké 
B: 	oké helemaal in het midden bovenop 
A: 	ja 
B: 	of niet 
A: 	en dan hier ergens 
A: 	ik denken een neus een soort Pinokkioachtig neus 
B: 	ja en aan de zijkant zeggen maar zijn zo'n vierkant en dat gaan dan steeds klein zeggen maar 
A: 	ja 
A: 	juist 
B: 	ja 
B: 	E 
B: 	oké deze hebben zeggen maar hierbovenop veel zo'n waterdruppel 
B: 	en aan de zijkant ook een waterdruppel 
A: 	en dan ja met die blok hier zo van klein 
B: 	ja 
A: 	oké 
A: 	elf 
A: 	oehlen ja twee twee waterdruppel 
B: 	even kijken 
A: 	en dan blok van klein naar groot of groot naar klein hangen eraf hoe je het zien 
B: 	ja met die hier en hier 
A: 	ja 
B: 	ja 
B: 	J 
B: 	die met die druppel hier en druppel hier en dan die blok zo aan de ander kant 
A: 	negen 
B: 	ja 
A: 	de twee waterdruppel zo'n neus en een kop 
A: 	en dan die blok zo 
A: 	die van klein naar groot 
B: 	even zoeken 
B: 	ja 
B: 	die druppel boven en aan de zijkant en aan de ander kant die blok 
A: 	ja 
A: 	die zijn nummer vier 
