A: 	koffiekopje 
A: 	met iets rechts aan de voorkant een schuin omhoog klein uitsteeksel met daarop een rond vlak 
A: 	en link een uitsteeksel dat met een beetje fantasie op een oor lijken maar dan flink 
B: 	een oor 
A: 	uittrekken en daarbovenop staan een een ja soort obelisk omgekeerd hakt erin 
B: 	ja dat spiest er een beetje in 
B: 	ja 
B: 	je hebben dus een koffiekopje met een een soort dienblad weer eraan 
A: 	ja 
B: 	ja 
B: 	dat zijn letter L 
B: 	de volgen zijn het koffiekopje met een dienblad eraan vast en een uitsteeksel wat jij op een oor vinden lijken 
B: 	met een obelisk eraan 
A: 	ja 
A: 	nummer zeven 
A: 	het koffiekopje met rond dienblad met een oor 
A: 	en een ding erin 
B: 	ja 
B: 	die dat oor 
B: 	ja 
B: 	dat zijn letter C 
B: 	dan moeten het dezelfde zijn 
B: 	met dat oor 
A: 	ja even zoeken waar zijn je ? waar zijn je ? waar zijn je ? ja 
A: 	en dat zijn nummer één 
A: 	het oor 
B: 	het oor waar staan die ook alweer 
B: 	ja 
B: 	letter A 
B: 	het oor 
A: 	het oor het oor het oor 
B: 	met die obelisk 
A: 	ja 
A: 	dertien 
