B: 	deze hebben aan de linkerkant twee arm die hetzelfde figuur hebben en dat zijn zo'n vierkan met blok die steeds klein worden 
B: 	en aan de bovenkant hebben hij een soort spijker op zijn hoofd 
B: 	en rechts een groot vierkant 
A: 	ja zo'n heel groot 
B: 	ja 
B: 	zo'n plakkaat 
A: 	okee ik zien het 
A: 	lijken ook op uitpuilen oog 
B: 	ja 
A: 	dat zijn nummer veertien 
A: 	deze hebben van die uitpuilen oog naar die kant 
A: 	echt pixeliseren ook 
B: 	ja 
A: 	met zo'n spijker door zijn hoofd heen en een plat vierkant aan deze kant 
B: 	ja ik zien hem al 
B: 	ja dat zijn f 
B: 	dit zijn met de de twee oog naar links kijken spijker in zijn hoofd en plat vierkant rechts 
A: 	en die 
A: 	dat zijn negen 
A: 	dit zijn die met die uitpuilen oog en een spijker en een vierkant 
B: 	ja g zijn dat 
B: 	dit zijn met de twee oog naar links die groot gepixeliseerde en de spijker in zijn hoofd 
A: 	ja 
B: 	en het vierkant 
A: 	ja 
A: 	nummer veertien 
A: 	dit zijn die met uitpuilen oog en een spijker 
A: 	en een vierkant 
B: 	ja m 
