B: 	oké ik zien een een rechthoek op het kop en die liggen 
B: 	en dat zijn ook het enig kop die dat hebben 
A: 	een rechthoek 
A: 	ja 
A: 	en aan de linkerkant hebben hij een soort rond ovaal uittrekken ja ik weten niet hoe je dat moeten 
B: 	ja 
B: 	zo'n vorm die we niet kennen 
A: 	ja 
B: 	h ja 
A: 	nummer drie 
B: 	ja 
A: 	oké deze hebben een recht hoek op het kop 
A: 	die zijn plat leggen dus hij steken niet uit 
B: 	dat zijn 
B: 	dat zijn N 
B: 	oké deze hebben een liggen rechthoek op het kop 
A: 	even kijken waar staan nummer zeven 
A: 	een de rechthoek bovenop het kop , die niet dan uitsteken maar die plat liggen 
B: 	dat zijn N 
B: 	deze hebben een liggen rechthoek 
A: 	oké even kijken waar die staan 
A: 	ja nummer tien 
A: 	het rechthoek plat bovenop het kop 
B: 	ja als ik hem kunnen vinden 
A: 	je weten welk ik bedoelen in ieder geval 
B: 	K 
