B: 	dit zijn die met die staart in principe van die ruit 
A: 	van die deze zo'n kralenketting 
B: 	ja 
A: 	ja dat hebben zo hebben ik hem 
A: 	ja 
A: 	ja wachten dat zijn nummer vijf 
A: 	of moeten ik drukken 
A: 	ja ik moeten wel drukken 
B: 	ja 
A: 	ja ik hebben diegene met die met die bollet met die kraal zeggen maar met die 
B: 	dat zijn J 
B: 	het zijn die met die staart of uitsteeksel met die rui 
A: 	ja ja 
A: 	dat zijn elf 
A: 	dit zijn diegene met die staart of kralenketting of wat je het willen noemen 
B: 	ja P 
B: 	het zijn die met die staart of 
A: 	ja ja negen 
A: 	dit zijn degeen met de staart of ketting 
B: 	ja L 
