B: 	oké dit zijn wat ik net bedoelen met dat rok aan ik weten niet of dat jij dan weten wat ik bedoelen ook zo'n vierkant die zeggen maar er dwars op zitten 
A: 	ja een soort van tutuu en hij hebben een soort van slurf 
B: 	ja die 
B: 	ja die 
A: 	en aan de zijkant hebben die zo'n arm met zo'n hoek er omhoog ja 
B: 	ja 
B: 	en twee dinge van boven 
A: 	ja zijn nummer nummer zes bij mij 
A: 	dit zijn die een met die tuturok zeggen maar met die slurf 
B: 	ja 
B: 	ja 
A: 	met die met die vierkant ding waar aan de links kant zo'n soort van arm uit komen en dan die twee staaf die aan de bovenkant zitten 
B: 	got it 
B: 	C 
B: 	dit zijn die met die tutu 
A: 	waar zijn die ? waar zijn die ? waar zijn die 
A: 	ja met die twee staaf erbovenuit en die slurf 
B: 	ja 
B: 	een soort sigaarroken tutu 
A: 	ja 
A: 	nummer dertien 
A: 	dit zijn die een met die tutu en die slurf en die twee punt die eruit komen 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn degeen met de tutu 
A: 	ja nummer negen 
A: 	de tutu 
A: 	met de slurf en de twee punt die eruit komen 
B: 	ja 
B: 	N 
