A: 	oké deze hebben een piramidehoed bovenop 
B: 	ja ja echt zo'n puntig 
A: 	en dan nog een heel groot massief stuk aan de Rechtervoorkant 
B: 	ja en een soort een rond onderaan 
A: 	die 
A: 	ja 
B: 	dat zijn J bij mij 
B: 	dit zijn die met dat puntmuts en dat raar blok aan de rechterkant en dat rond onder 
A: 	ja 
A: 	even kijken hoor 
A: 	ja vinden 
A: 	zes 
A: 	dit zijn die met het piramidehoed en dat groot blok 
B: 	ja dat zijn E 
B: 	dit zijn die met die piramide 
A: 	ja dat zijn tien 
A: 	dit zijn die met de piramide 
A: 	hoed 
B: 	dat zijn G 
B: 	dit zijn de piramide 
A: 	dat zijn tien 
