B: 	deze dit zijn hebben echt de kort uitsteeksel er liggen zo'n balk boven op het op dat ding 
A: 	even kijken hoor 
B: 	en aan de voorkant opsteken er een dinge uit met dan een rond ding daar weer op 
B: 	ik vinden deze echt vaag 
A: 	even kijken de kort laten maar zeggen de veel compact 
B: 	ja hij zijn heel compact inderdaad 
A: 	ja met die horizontaal balk bovenop 
B: 	ja 
A: 	ja dat zijn bij mij nummer acht 
A: 	ik hebben die heel compact weer 
B: 	die dat zijn E 
B: 	ik hebben die heel compact 
A: 	ja zijn bij mij nummer één 
A: 	ik hebben die compact weer 
B: 	waar zijn die 
B: 	dat zijn E 
B: 	ik hebben die compact 
A: 	nummer zestien 
A: 	ik hebben die compact 
B: 	ja 
B: 	dat zijn O 
