B: 	even kijken deze doen me een beetje denken aan een robot 
B: 	of waar we het net over hebben van die steeds klein worden blok maar dan zijn het er twee 
A: 	ja met die plaat 
B: 	ja met de plaat ervoor ja 
A: 	ja dus die doen me ook denken aan robot 
A: 	dat zijn twee 
A: 	dit zijn weer die robot 
A: 	met die vierkant plaat 
B: 	waar zijn die 
B: 	ja 
A: 	rechts 
B: 	ja en met zo'n soort antenne of achtig 
A: 	ja 
B: 	ja dus dat zijn G 
B: 	dit zijn de waarom krijgen ik deze weer 
B: 	die met de plaat van voor die op een robot lijken 
A: 	ja dat zijn negen 
A: 	dit zijn weer die robot 
A: 	met die plaat en die antenne 
B: 	ja dus dat zijn D 
B: 	dit zijn de robot met de plaat ervoor 
A: 	ja dat zijn één 
A: 	dit zijn weer die robot 
B: 	ja dus dat zijn B 
