A: 	ja 
A: 	dit ja ik vinden het een beetje op een vogel lijken met twee staaf aan de rechterkant 
A: 	soort van bek en dan bovenop zo'n punt 
B: 	ik vinden die ook op een vogel lijken 
A: 	en dan zo'n ja zo'n staaf naar links en dan dat ja gekronkelen staafje aan de onderkant 
B: 	ja 
B: 	dat zijn I bij mij 
B: 	dit zijn die op een vogel lijken 
B: 	met van die ja 
A: 	ja die twee staaf en dat punt 
B: 	ja 
A: 	het staart en de vleugel 
B: 	ja 
A: 	dat zijn twee 
A: 	ja dit zijn de de vogel met de snavel en de driehoek en het ja krulstaartje aan de Linkeronderkant en 
B: 	ja 
B: 	dat zijn M 
B: 	dit zijn die vogel 
B: 	met de vlakke afgevlakt driehoek 
A: 	ja 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn de vogel 
A: 	het snuit en de plat driehoek 
B: 	ja dat zijn F 
B: 	dit zijn die vogel 
A: 	vogel vogel ja 
B: 	ja 
A: 	zes 
