B: 	okee deze zijn wel grappig 
B: 	bij deze hebben aan de linkerkant hebben hij ja het lijken een beetje twee oog van legoblok 
A: 	ah en een antenne zo'n spijker 
B: 	ja een spijker als antenne en dan rechts aan de voorkant nog een een plaat 
A: 	ah 
A: 	ja lijken wel een robot 
B: 	ja joh ja 
A: 	ik 
A: 	ja ik 
A: 	ik gaan voor nummer twaalf 
A: 	nou hier krijgen we die leuk robot weer 
A: 	die weer aan de linkerkant met die uitstekend oogjes die blok die groot worden 
B: 	aha ja 
A: 	het spijkert als antenne 
A: 	en aan de ik zullen zomaar zeggen de linkerkant voor hem omdat ik denken die oog gaan die kant op maar dat zijn echt heel gek 
B: 	ja ja ja 
B: 	dat zijn omgedraaien natuurlijk ja 
A: 	maar dus eigenlijk rechtsvoor aan die kant zijn een één ja een vierkant plaat ertegenaan 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	nou dan gaan ik voor m 
A: 	ja 
A: 	ja 
B: 	dit zijn degeen met de legoblokjesoge en een spijker aan de bovenkant en een ja zo'n zo'n ja 
A: 	ja 
A: 	gaan ik voor nummer vijf 
B: 	de springstok ja ja 
A: 	nou dit zijn ons robo weer met vierkant plaat aan de voorkant 
A: 	link twee oog en antennetje spijker 
B: 	en een spijkert antenne 
A: 	ja 
B: 	dat zijn d 
B: 	oogjes aan de linkerkant een spijker bovenin en een een scherm aan de rechterkant 
A: 	ja 
A: 	ja nummer twee 
A: 	ons robot 
B: 	jeej dat zijn h 
