B: 	oké een soort van schroef onderaan met een driehoek op het einde als een soort voetstuk 
A: 	ja ja dat zijn nummer vier 
A: 	deze hebben aan de onderkant dat draaien ding in die driehoek 
B: 	oké aan de onderkant dat gedraaide oké ja dat zijn bij mij A 
B: 	dit zijn weer die schroef met driehoek eraan 
A: 	ja dat zijn bij mij tien 
A: 	dit zijn weer met die schroef aan de onderkant met de driehoek 
B: 	dat zijn bij mij L 
B: 	die met die schroef en die driehoek 
B: 	als voetstuk 
A: 	ja nummer vier 
A: 	die met die schroef aan de onderkant in de driehoek 
B: 	F 
