A: 	oké nu hebben ik er één 
A: 	dit zijn een bak met een soort propeller aan de voorkant en hij wijken veel uit naar rechts en de rechterkant zijn een een stok eigenlijk van de uit de propeller die een rond eraan vast , bij de rechterkant zitten hij 
B: 	waar zitten de propeller 
A: 	hij zitten op de voorkant zijn een een bobbel de voorkant van de bak zijn een bobbel die doorboren zijn met een staaf 
B: 	ja 
A: 	en dan wijken hij uit naar rechts 
B: 	en de propeller wijken ook af naar rechts 
A: 	het zijn eigenlijk het zijn een , je mogen ook met de hand communiceren , het zijn één de bak met een bol aan de voorkant 
B: 	ja 
B: 	ja 
A: 	en daar zitten een staaf doorheen 
B: 	ja 
A: 	aan de rechterkant zitten nog een rond 
B: 	ja oké dan weten ik het 
A: 	oké 
B: 	dan zijn het M 
B: 	een kop met een lepeltje zo zien ik het en een ei met een zuignap 
B: 	ja dat ei hebben een pilaar en daar zuignap ja 
A: 	oké 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	nu zijn het wel degeen met de zuignap 
B: 	oké makkelijk dat zijn dan K 
B: 	koffiekopje met een zuignap en een ei 
B: 	waar die aan vastgemaaktten zijn 
A: 	nummer tien 
A: 	het ei met de pilaar met de balk er doorheen , met de zuignap 
B: 	ja 
B: 	ei 
B: 	I 
B: 	een kop met een lepel erin en een zuignap die door de ei spiesen zijn 
A: 	ja zeven 
