A: 	okee nou zijn het weer het bolle alleen het bolle liggen nu op het beker 
B: 	ja dat zijn er maar één volgens mij 
A: 	ja 
B: 	ja 
B: 	dat zijn j 
B: 	deze hebben aan de bovenkant een bolle 
B: 	als enig van al figuur 
A: 	ja 
A: 	en aan de voorkant een balk die onderaan uitsteekt 
B: 	ja 
B: 	ja 
A: 	dat zijn nummer vijf 
A: 	het bolle aan de bovenkant 
B: 	met een rechthoekig staaf aan de voorkant 
A: 	ja 
A: 	ja 
B: 	dat zijn n 
A: 	vallen naar beneden ja 
B: 	cirkel of bolle op de bovenkant en een 
A: 	aan de voorkant dat lang balk 
B: 	lang 
B: 	een lang balk ja 
A: 	vijfteen 
A: 	nou het bolle aan de bovenkant er zijn er maar één 
B: 	ja 
B: 	dat zijn g 
B: 	bolle op de bovenkant 
A: 	vier 
