A: 	ja ik vinden dit een beetje lijken op een poppe met zo'n feestmuts zeggen maar 
A: 	gewoon eigenlijk dat noemen je het 
B: 	linksonder hebben die een rond 
A: 	ja hij hebben linksonder zo'n rond ja en ik denken 
B: 	en links in het midden nog een soort van 
A: 	zo'n ja raar uitstulpingding 
B: 	ja dan weten ik het 
B: 	het zijn J 
B: 	deze hebben die feestmuts op zijn hoofd links nog zo'n armp 
A: 	ja ik zien hem 
A: 	nummer zes 
A: 	dit zijn die met de feestmuts 
B: 	ja dat zijn E 
B: 	de feestmuts 
A: 	even zoeken waar die zijn 
A: 	ja nummer tien 
A: 	het feestmutsje 
B: 	ja G 
B: 	feestmuts 
A: 	even kijken ja nummer tien 
