A: 	oké ja hoe hebben ik hem beschrijven ? nou het zijn gewoon die rond kop weer en aan de zowel aan de linker als rechterkant hebben je een rond ovaal staaf wat er eigenlijk doorheen gaan 
A: 	je zien aan de linkerkant zien je een klein stuk ervan aan de rechterkant steken die lang uit 
B: 	ja en dan 
A: 	en aan de achterkant hebben je zo'n soort schuin plank zeggen maar 
B: 	ja en twee bollet op de 
A: 	ja 
B: 	oké ja 
B: 	K 
B: 	dit zijn met die staaf die door het mokje heen gaan maar aan de linkerkant iets weinig dan aan de rechterkant 
A: 	ah ja ja ja even kijken waar staan die bij mij 
A: 	daar 
A: 	negen 
A: 	met die even kijken dat plaat met die rol door het midden zeggen maar met link iets kort rechts iets lang 
B: 	ja 
B: 	ja 
B: 	F 
B: 	dit zijn weer met die staaf erdoorheen en dan aan de linkerkant een klein stuk dan aan de rechterkant 
A: 	oké ja 
A: 	drie 
A: 	dat kop met die staaf erdoorheen met linkerkant 
B: 	link iets weinig en rechts iets veel 
A: 	ja precies 
B: 	L 
B: 	dit zijn weer die staaf die links iets weinig erdoorheen opsteken en rechts iets veel 
A: 	ja 
A: 	even kijken 
A: 	waar zijn die verstoppen ? ah vijf 
