A: 	ja dit vinden ik echt van alles wat ik hebben er maar een beetje een misvormd gezicht van maken 
A: 	sowieso die basisvorm 
A: 	daarbij een wel echt een spits kegel op het hoofd 
A: 	ja schuin naar voren eigenlijk een soort piramide die niet helemaal doorlopen die halverwege zijn afsnijden 
A: 	dan schuin naar achter eigenlijk nog een puntig toelopen iets 
A: 	en dan ergens onder nog een half cirkel of ja een cirkelvorm 
B: 	lijken een soort van op een zeedier of zo 
A: 	ja 
B: 	een beetje een raar vis die zijn neus hebben stoten zeggen maar 
A: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die dat zee dier 
B: 	met een groot misvormd neusachtig iets met die groot 
A: 	die groot spits en die ergens tegenaan zijn zwemmen 
B: 	ja 
B: 	ja 
A: 	dat zijn nummer zes bij mij 
A: 	dit zijn die vis die ergens tegenaan zijn zwemmen 
A: 	en met dat puntmuts op 
B: 	dat zijn E 
B: 	dit zijn die die vis die zijn neus hebben stoten 
A: 	stoten 
A: 	ja 
A: 	dat zijn nummer tien bij mij 
A: 	dit zijn weer die gek vis die ergens tegenaan zijn zwemmen 
B: 	dat zijn G 
B: 	dit zijn die vis die zijn hoofd hebben stoten 
A: 	stoten 
A: 	ja dat zijn nummer tien 
