B: 	dit lijken een beetje op een soort WALLErobo 
B: 	met een balk staan erbovenop 
B: 	en het lijken net alsof die zo iets vasthouden 
B: 	met een heel lang cilindertje erop 
A: 	ja ja ja ja ja 
A: 	ja 
A: 	acht 
A: 	dat zijn dit dat WALLEpoppe met dat hand met een buisje erop en zo'n blok bovenop 
A: 	twee van die ja soort van armp of zo aan de links rechts 
B: 	met het 
B: 	bedoelen je met het vierkant vlak erachter op een standaard 
A: 	nee niet op de Standaard 
A: 	nee met zo'n heel klein buisje die op een klein armp staan 
B: 	ja zeggen maar de de beker 
A: 	de beker 
B: 	ja dat zeggen maar als je hebben winnen zo'n trofee 
A: 	nee nee nee niet nee niet de beker 
A: 	nee dit zijn die jij zeggen WALLEpoppetje vinden ik een heel goed 
A: 	hij zijn best wel klein 
A: 	er opsteken niet zoveel uit eigenlijk 
B: 	en hebben die zo zo'n hand zo met een cilinder erop 
A: 	ja 
A: 	precies 
A: 	die ja 
B: 	oké ja 
B: 	dat zijn E 
B: 	dit zijn de serveerster die zo met 
A: 	ja 
A: 	vijftien met de Eiffeltoren 
B: 	nee 
B: 	maar volgens mij hebben ik ook een keer WALLErobotpoppe zeggen 
B: 	bij deze bovenop een 
A: 	ja met met het cilindertje bedoelen je 
B: 	ja met een cilindertje en bovenop een ja een lang hoe heten dat ? een rechthoek zo'n lang vlak 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	oké zullen we die vanaf nu WALLE noemen 
B: 	ja noemen we die WALLE als codetaal 
A: 	en dan zijn de ander 
A: 	en dan zijn de ander de Eiffeltoren 
B: 	ja 
A: 	oké één 
A: 	WALLE 
B: 	WALLE 
A: 	met het cilindertje 
B: 	even kijken waar zijn WALLE 
B: 	ja 
B: 	E 
A: 	gaan weer bijna fout 
B: 	ja 
B: 	dit zijn volgens mij hebben we deze WALLE noemen zo met hand 
A: 	ja 
A: 	zestien 
A: 	WALLE 
B: 	WALLE zijn staan die bij jou ook links onderin 
A: 	ja helemaal linksonder 
A: 	ja 
