A: 	oké 
A: 	het zijn ja gewoon zo'n komme en dan lijken het net alsof die een neus hebben aan de voorkant 
A: 	en dan door het neus zitten een een een staaf en een 
B: 	zijn het een rond neusje 
A: 	ja dat zijn een rond neusje 
A: 	en dat staaf wat erdoorheen zitten 
B: 	oké 
A: 	aan één uiteinde zitten een cirkelt 
A: 	en dan zeggen maar bovenop zitten nog een klein pluk naar achter 
B: 	ja 
B: 	F 
B: 	ja het zijn F ja 
B: 	het zijn dat mannne of het bak en het neus 
B: 	met een piercing door het neus en hij hebben zo'n pluk aan de achterkant 
A: 	nummer vijf 
A: 	dit zijn zeggen maar het komme met het neus met de piercing erin 
A: 	waar dat waar het schijf aan zitten 
B: 	ja 
B: 	letter A 
B: 	neuspiercing met het pluk 
A: 	ja 
A: 	nummer vijf 
A: 	de neus met neuspiercing 
A: 	en het pluk 
B: 	ja 
B: 	moeten even zoeken 
B: 	ja 
B: 	letter H 
B: 	hij hebben een piercing door zijn neus 
A: 	ja 
A: 	nummer vijftien 
