B: 	het zijn een bak en hij bevinden zich in een vierkant in een plat vierkant een beetje alsof die een glitch hebben 
A: 	oké ja 
B: 	ja dat zijn geloven ik de enig maar hij hebben ook nog een soort van slurf 
B: 	en een hoek hier en twee van die antennet 
A: 	ja ja ja oké 
B: 	ja 
A: 	ja 
A: 	nummer zes 
A: 	dit zijn die een zeggen maar die een beetje door de grond glitchten zijn 
A: 	en dan zitten er zeggen maar dat slurf aan de voorkant 
B: 	ja 
B: 	ja 
A: 	met stok aan de zijkant 
A: 	en die punt ja 
B: 	ja 
B: 	letter C 
B: 	hij hebben twee horent hij zitten hij glitcht in dat vierkantje 
A: 	ja 
A: 	ik zijn half blind met dat slurf 
B: 	ja hij hebben een slurfje 
A: 	ja 
A: 	nummer dertien 
A: 	dit zijn die een zeggen maar die door die grond heen geglitcht zijn met dat slurf aan de voorkant 
B: 	ja 
A: 	en die twee punt erop 
A: 	en dat armp 
B: 	moeten ze nog even zoeken 
B: 	ja 
B: 	letter J 
B: 	de glitch met het slurf 
A: 	ja 
A: 	nummer negen 
A: 	even kijken dit zijn die een die door de plank zijn glitchten met het slurf 
B: 	yes 
A: 	en de twee stokkie 
B: 	letter N 
