A: 	oké nou dit zijn een ding die hebben iets bovenop de kop een ja dat ook dat schuin aflooppen naar beneden maar het zijn geen driehoek 
A: 	en twee twee balk die uitsteken aan de rechterkant 
B: 	aan rechterkant 
A: 	ja rechterkant 
B: 	ah ja met zo'n fliebel onder nog 
A: 	ja 
B: 	aan de linkerkant 
A: 	precies 
B: 	ja 
B: 	oké dat zijn D 
A: 	ja 
B: 	ja dit zijn die met soort van is-teken aan de rechterkant 
B: 	met ook een soort van afges-vlakte cilinder aan de bovenkant 
A: 	even kijken hoor 
A: 	cilinder 
B: 	met die 
A: 	cilinder aan de rechterkant zeggen je 
B: 	nee aan de bovenop 
B: 	en dan met het het top eraf 
A: 	ja ja ja 
A: 	en dan hebben hij wat 
B: 	en dan ja zo'n soort is-teken 
B: 	aan de rechterkant 
B: 	en nog zo'n fliebel link 
B: 	en nog in het midden ook nog een uitsteeksel 
A: 	mhm 
A: 	ja ik zitten even te kijken of zegmaar zijn het degeen die aan de linkerkant hebben hij nog zo'n helemaal onderin 
B: 	ja zo'n 
B: 	ja ja 
A: 	ja oké dan denken ik wel dat ik hem weten 
B: 	oké 
A: 	vijf 
A: 	ja dit zijn weer dit zijn weer zo'n geen met linksonder zo'n klein ja klein hoek 
A: 	en twee van die balk die eruit steken aan de rechterkant 
B: 	ja 
B: 	met die afgeplaten 
A: 	ja precies 
B: 	ja oké dat zijn H 
B: 	ja dit zijn weer met die afgeplaten cilinder aan de bovenkant 
A: 	ja 
B: 	met die balk rechts 
A: 	dat zijn tien 
A: 	dit zijn weer met die afgevlakt driehoek zeggen maar daar bovenop 
B: 	ja 
A: 	en die twee balk aan de rechterkant 
B: 	ja oké ja dat zijn J 
B: 	ja dit zijn weer met die afgeplaten cilinder aan de bovenkant 
B: 	met die balk aan de zijkant 
A: 	ja 
A: 	waar zijn hij ? veertien 
A: 	wachten , cilinder aan de bovenkant ? afgevlakte cilinder 
B: 	ja ja 
A: 	dan zijn het een ander denken ik 
A: 	want 
B: 	ja niet met die groot maar die balk aan de zijkant zo 
A: 	die aan de rechterkant van die twee van die balk hebben 
B: 	ja ja precies ja 
A: 	oké ja want denken cilinder maar dat ja 
A: 	veertien 
