A: 	ja oké 
B: 	nou ja het zijn een beetje een een vorm van een glaas en dan zitten er twee blok op 
B: 	en een soort van Lvormig uitsteeksel 
A: 	twee blok erop 
B: 	een een glas met een voe 
B: 	met twee blok erop 
A: 	ja ik zien er één met twee blok erop hebben zeggen maar de onderkant een soort van draai erin zitten 
B: 	ja 
A: 	ja oké 
A: 	en dan inderdaad een een driehoek die er onderin zitten 
B: 	ja 
A: 	oké dat zijn vier voor mij dan 
B: 	ja 
A: 	deze hebben een gedraaide onderkant en de driehoek eronder 
B: 	ja dat zijn A 
A: 	ja 
A: 	en die twee blok 
B: 	ja 
B: 	het zijn weer die een in de vorm van het glas 
B: 	met de blok erop 
B: 	de driehoekig standaard 
A: 	ja en de en de gedraaide 
B: 	draaien ja 
A: 	ja draaien ding oké dat zijn tien 
A: 	dat kloppen 
A: 	oké dit zijn weer de draaien onderkant met de driehoek eronder 
B: 	ja 
B: 	L 
B: 	het glaas met de draaien onderkant 
B: 	en het driehoek aan de onderkant 
A: 	yes 
A: 	oké dat zijn vier 
A: 	deze dit zijn weer die met de draaien onderkant en de en de blok erop 
B: 	draaien onderkant F 
