A: 	deze hebben een driehoek of een pyramidevorm op zijn hoofd 
B: 	ja 
A: 	en een aan de zijkant een soort ja je zullen het ook een kogel kunnen noemen 
B: 	ja 
A: 	en een apart vormig neus 
B: 	een trapeziumvorm neus 
A: 	wauw 
A: 	ja 
B: 	en een cirkel onder zijn hoofd 
A: 	ja 
B: 	dan zijn het c 
B: 	deze hebben een een puntmutsje 
B: 	en ik denken dat dit de enig zijn die er één hebben 
A: 	ja 
A: 	ja 
A: 	nou 
B: 	nee wachten hij hebben ook een een een kogel links 
A: 	ja elf 
A: 	deze hebben een pyramide op zijn hoofd en een kogel tegen zijn schedel aan links oor 
B: 	ja dat zijn p 
B: 	deze hebben het punthoedje 
A: 	ja 
B: 	met de kogel 
A: 	ja maar waar zijn die 
A: 	ja veertien 
A: 	pyramide 
A: 	kogel 
B: 	ja dat zijn g 
B: 	punthoed met kogel 
A: 	pyramide 
A: 	ja 
B: 	ja pyramide 
A: 	ja punthoed zijn ook goed 
A: 	dertien 
