B: 	oké ik hebben het rood vierkant hij hebben een een rond cilinder aan de naar de links kant toe het lijken wel op een gezich dat naar links kijken 
B: 	en hij hebben achterop hebben die een staart op het hoofd 
B: 	ik weten niet of je dan weten welk het zijn 
B: 	en aan de rechterzijkant van zijn hoofd zullen die dan een een plat rond hebben 
A: 	even kijken 
A: 	hij hebben een 
B: 	het hoofd staan ook op een soort nek of zo lijken het wel 
B: 	heel klein 
B: 	ovaal 
A: 	hebben die aan de achterkant een soort plat rond zitten 
B: 	ja aan de achterkant zitten een plat rond dat zullen dan 
A: 	en aan de voorkant zo'n soort kegel omhoog 
A: 	of niet 
B: 	nee 
B: 	een een soort neus naar de voorkant 
B: 	een rond neusje 
B: 	en hij kijken zeggen maar naar links toe 
B: 	met een kegel als neus en dan zullen die op zijn aan de achterkant zitten een een plat schijf 
A: 	hebben die aan de bovenkant een soort kegel zitten 
B: 	en een kuifje 
B: 	ja aan de bovenkant zitten een soort kegel ja zo'n bowlingkegeldinge 
A: 	best wel groot 
B: 	niet zo heel groot 
A: 	en aan de zeggen maar aan de rechterkant zo'n soort blok 
A: 	soort wolkenkrabber lijken het een beetje op 
B: 	nee 
A: 	nee niet 
B: 	nee nee nee 
B: 	hij hebben rechtsachter zitten zo'n soort een bowlingkegel maar dan op zijn kop zeggen maar 
B: 	die zien je wel op meerdere plaat maar en op de achterkant zitten een plat schijf 
A: 	ja ik zien hem 
A: 	ja ja ja dan zien ik hem 
B: 	en dan zitten aan de links kant zitten een een soort neusje 
A: 	ja oké 
A: 	dan dan zijn het nummer dertien 
B: 	ja 
B: 	dan mogen jij zeggen welk nummer 
B: 	oké 
A: 	dit zijn die een die jij mij als één hebben op dat voe met die cilinder naar links en dat staart voorop 
B: 	ja 
A: 	en die cirkel achterop 
B: 	ja die plat cirkel daarachter tegenaan 
A: 	ja 
B: 	ja dat zijn bij mij zijn dat O 
A: 	nieuw 
B: 	nieuw 
B: 	dit zijn die ik als allereer ook hebben met die rond plaat aan de achterkant en een balk naar links 
B: 	die op een nek staan 
A: 	ja ja 
A: 	dat zijn nummer acht 
A: 	op het voet met de cilinder aan de linkerkant met de plat cirkel en de kegeltje rechtsbof 
B: 	het voe waar zijn het voe 
B: 	cilinder in de plat ronde aan de achterkant 
A: 	die jij als allereer hebben 
B: 	ja ja ja ja ja 
B: 	dat zijn bij mij C 
B: 	die ik als allereer hebben met het rond plaat aan de achterkant 
A: 	ja 
B: 	het kegel rechts bovenop en 
A: 	dat zijn nummer zeven 
A: 	de een die jij als één hebben 
A: 	dus op dat voe 
B: 	ja 
B: 	dat zijn C 
A: 	spannend 
B: 	best wel lachen 
A: 	ja 
A: 	hallo 
