A: 	ja ik hebben geen idee hoe ik deze moeten omschrijven qua woord maar je hebben aan de rechterkant twee van die vierkant blok zitten aan de linkerkant zitten een 
B: 	ja 
A: 	op dezelfde hoogte van die twee vierkant blok zitten een soort hendel 
B: 	ja 
A: 	daaronder daar zitten een soort uitlaatpijp en bovenop zitten nog een gek ja 
B: 	ja 
B: 	ja 
B: 	ja die iets spitser toekenen alleen geen punt hebben 
A: 	ja en daarna weer plat ja precies 
B: 	ja 
B: 	I 
B: 	met de deurklink en met twee van die dinge die eruit steken aan de rechterkant met dat spits toelopen punt bovenop 
B: 	dat geen punt hebben 
B: 	een soort omgekeerde badkuip 
A: 	ja ja ja ja 
A: 	ja 
A: 	met die twee vierkant blok aan de rechterkant 
B: 	beetje weten je met die 
A: 	of 
B: 	ja rechthoeken ik vinden het wel rechthoek 
A: 	ja ja rechthoek ja ja ja 
B: 	oké 
B: 	zullen we die de deurklink noemen 
A: 	ja deurklink prima 
B: 	oké top 
A: 	dat zijn twee 
A: 	de deurhendel volgens mij 
B: 	ja 
B: 	de deurklink 
A: 	de deurklink 
A: 	dat zijn waar staan die 
A: 	ah daar 
A: 	dat zijn negen 
A: 	de deurklink 
B: 	ja 
B: 	de deurklink 
A: 	deurklink waar zijn de deurklink verstpen 
A: 	daar 
A: 	zes 
