A: 	ja dit zijn vinden ik die veel abstract figuur 
A: 	dit zijn met die spits punt 
A: 	helemaal boven en dan onder hebben je zo'n rond en aan de voorkant zitten zo'n conisch vierkant blok 
B: 	ja 
B: 	ja ja 
A: 	en aan de zijkant zitten nog zo'n 
B: 	dat zijn J 
B: 	deze hebben heel veel verschillend vorm er zitten bovenop zitten die punt 
B: 	en voorkant zitten dat dat gek blok 
A: 	ja precies 
B: 	en er zitten links zitten nog zo'n raar punt met 
A: 	ja ja ja 
B: 	ja 
A: 	dat zijn zes 
A: 	ja dit zijn weer die gek figuur met die spits punt 
B: 	met de spits punt 
A: 	ja 
B: 	ja waar we echt niks van snappen 
A: 	nee precies 
B: 	die staan bij mij op E 
B: 	dit zijn dat gek ding driehoek bovenop 
A: 	die spits driehoek 
B: 	ja 
A: 	dat zijn tien 
A: 	ja dit zijn die spits spits driehoek aan de achterkant en dat raar figuur weten je wel 
B: 	ja ja ja 
B: 	G 
B: 	dit zijn dat gek ding met de driehoek bovenop 
A: 	met die spits driehoek 
B: 	ja 
A: 	ja 
A: 	tien 
