A: 	oké 
A: 	ik hebben dat dat kop 
A: 	en daar hebben je dan zo aan de voorkant zitten zo'n bolle 
A: 	en dat bolle hebben dan zo'n vierkant staaf erdoorheen 
A: 	met zo'n plat ding aan de einde van de staaf en dan dat gek ja piek bovenop 
B: 	ja 
B: 	ik zien hem 
B: 	dat zijn bij mij F 
B: 	deze hebben een bolle aan de voorkant met nog een vierkant staaf doorheen 
B: 	met daar weer een plat ronde ding eraan 
B: 	en dan een pluimp bovenop 
A: 	ja dat zijn vijf 
A: 	ja dit zijn die met het bolle aan de voorkant met die staaf erdoorheen en dan dat ander cirkel nog rechts 
B: 	en 
A: 	en de pluim 
B: 	dat zijn A 
B: 	dit zijn die met het bolle aan de voorkant met die staaf erdoorheen 
B: 	en het pluimp 
A: 	en die pluim 
B: 	ja 
A: 	ja 
A: 	dat zijn vijf 
A: 	dit zijn die met dat bolle en dan de staaf erdoorheen met dat plat kant 
B: 	ja even kijken waar die zijn 
B: 	ah ja dat zijn H 
B: 	dat zijn met die bollet aan voorkant en dan met die vierkant staaf erdoorheen 
B: 	door het bolle en het pluimp 
A: 	ja dat zijn vijftien 
