A: 	oké 
A: 	ik hebben nu een figuur met een bol op de bovenkant en aan de zijkant zijn twee stang die een beetje zo staan zeggen maar 
A: 	en aan de voorkant zitten een langwerpig rechthoek zeggen maar plakken 
B: 	oké 
B: 	ja 
B: 	zijn D bij mij 
A: 	oké 
B: 	deze hebben een rechthoekig staaf aan de voorkant en een bol bovenop en stang aan allebei de kant uitsteken 
A: 	ja 
A: 	die stang die gaan een beetje zo zeggen maar 
B: 	ja 
A: 	hebben we deze niet net ook al 
B: 	ja 
A: 	oké 
B: 	volgens mij kwamen ze allemaal vaak voorbij 
A: 	oké 
A: 	ja dat zijn nummer vijftien 
A: 	dit zijn die een met die bol bovenop en die twee buis ja dun buizen die zo gaan aan de linker en de rechterkant en vooraan die 
A: 	staaf die 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	deze zijn met het de groot rechthoek aan de voorkant en een bol bovenop en een stang erdoorheen 
A: 	even kijken groot rechthoek aan de 
A: 	ja 
A: 	of bedoelen je die met die deze stanget zeggen maar 
B: 	ja 
A: 	die zo gaan naar voren en die rechthoek die zitten er zo 
B: 	ja zijn langwerpig 
A: 	ja 
B: 	ja 
A: 	oké dat zijn nummer zes 
A: 	ik hebben nu die een met die bol bovenop en links en rechts zo die uitstekend stanget en vooraan die rechthoek ertegenaan plakken 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn met die rechthoek aan de voorkant en een bol bovenop 
B: 	en een stang erdoorheen 
A: 	ja 
B: 	weer 
A: 	dat zijn nummer drie 
