A: 	dit zijn een soort van ja ik hij hebben een soort van kegelvormig neus en een kegelvormig haartje 
A: 	en dan twee armp 
A: 	dus twee kegel één als neus en één als haar 
B: 	ja 
B: 	met een heel gek bouwen achtig armp 
A: 	armp ja een soort van Minecraftarmpje ja 
B: 	en een 
B: 	ja precies en nog een heel klein spastisch armp daar aan de ander kant 
A: 	ja ja ja 
A: 	ja die 
B: 	ja 
A: 	oké 
B: 	dan gaan het om E 
B: 	dit zijn het heel raar figuur 
B: 	waar je een kegel erbovenop hebben zitten aan de zijkant je hebben dat autistisch harm armp en je hebben zeggen maar die minecraft arm 
A: 	die 
A: 	die minecraft 
A: 	dat zijn Numero elf 
A: 	dit zijn die Pinokkio met dat raar dat dat dat raar autistisch hand en die en die en die 
B: 	ja met het 
A: 	en dat Mindcrafthandje 
B: 	ja 
B: 	ik zoeken hem even op 
B: 	dat zijn geen Pinokkio dat zijn mijn Minecrafthandje en het gek hand en twee kogel ja 
A: 	ja ja 
B: 	gaan het om J 
B: 	dit zijn met het Minecraftarmpje en de spastisch 
A: 	ik gaan hem even opzoeken 
A: 	op een geven moment ihten ja ik hebben hem vinden 
A: 	dit zijn Numero negen 
A: 	de de Mindcraftarmpje en dat raar armp 
B: 	ja 
B: 	dat worden B 
B: 	het Minecraftarmp en het spasmearmpje 
A: 	dat zijn nummer vier 
