A: 	okee nu zijn ik aan de beurt het zijn weer een kop inderdaad 
A: 	daarvoor zitten een heel dun balk daar doorheen zitten een soort van eivormig iets in het midden en daar dan helemaal aan de rechterkant zitten een plat schijf ook rond 
B: 	ja okee 
B: 	ja en ook weer een soort lepel erin 
A: 	ja aan de linkerkant 
B: 	yes 
B: 	nou dat zijn f 
A: 	okee top 
B: 	dit zijn deze hebben een lepeltje en hebben die staaf ervoor zitten met waar een ei door die door het ei heen gaan 
A: 	ja een ei ei en dat plat schijf 
B: 	ja ja ja 
A: 	elf 
A: 	deze hebben het ei of dat balk met die met dat ei en dat plat ding aan de zijkant dus dat ei zijn dat balk zitten door dat ei heen aan de voorkant 
A: 	een soort lepel er weer uit 
A: 	dus je hebben een smal balk daar zitten een ei doorheen 
B: 	zijn dat de de wc-rolhouder 
A: 	in het midden 
A: 	ja ja die noemen jij zo ja dat gaan ik gaan ik onthouden heel goed 
B: 	n 
B: 	deze hebben de wc-rolhouder 
A: 	wc-rolhouder zijn mijn theepot dus even zoeken waar die zitten 
B: 	nee nee nee dit zijn die de die staaf met dat ei erdoor en het lepel 
A: 	ja ja ja ja die nummer twee sorry ja nummer twee 
A: 	dit zijn jou wc-rolhouder 
B: 	ja dat zijn d 
A: 	dus met dat ei en dat balk erdoorheen 
B: 	dit zijn de wcrolhouder met het lepel 
A: 	met dat ei 
B: 	ja 
A: 	ja dat zijn nummer vijf 
