A: 	er zitten een plat rond aan de rechterkant 
A: 	plat cirkel zegmaar 
A: 	en aan de linkerkant steken een dik staaf uit die die ja beetje dik naar dun lopen zegmaar zo 
A: 	en dan zitten er nog een soort van trompe komt eruit 
B: 	even kijken 
A: 	uit die linker staaf 
B: 	trompe 
A: 	of ja veel zo'n ding wat zo gaan 
B: 	dat naar achter lopen 
A: 	ja 
B: 	dus het zullen een pannet kunnen zijn wat aan de rechterkant zitten 
A: 	ja 
B: 	oké 
B: 	M 
B: 	pijl lopen naar achter soort panne 
B: 	en het pannet zitten rechtsvoor 
B: 	en er zitten aan de linkerkant komen er recht komen er een figuur uit en er gaan iets naar achter alsof weg aan het schieten zijn 
B: 	dit zijn het een kop met het wat heel klein aan de rechterkant beginnen en dan een cirkel zijn 
B: 	dus het voelen een beetje alsof het een soort pannet zijn 
B: 	dus rechts van het kop 
A: 	ja 
B: 	zitten die cirkel 
B: 	die met een heel klein stuk bevestigen zitten 
B: 	en aan de linkerkant van het kop zitten best wel een breed figuur en op dat figuur zelf schieten er iets naar achter 
A: 	die trompetje-achtig 
B: 	ja trompet 
A: 	wat naar achter schieten 
B: 	ja 
A: 	ja 
A: 	zes 
A: 	dit zijn met het trompetter dat zijn dan links hebben je die zo'n dik staaf en daar komen die trompetter uit en aan de rechterkant hebben je nog een een plat cirkel 
B: 	ja even kijken 
B: 	link waar zijn je 
B: 	ja ja ja 
B: 	de het lopen naar achter die trompet inderdaad ja 
A: 	ja 
A: 	ja 
B: 	B 
B: 	trompet naar achter lopen 
A: 	ja ik hebben hem 
A: 	veertien 
A: 	dat nee dat trompetter zeggen maar aan de zijkant 
B: 	ja trompetje 
B: 	M 
B: 	trompet 
A: 	ja 
A: 	negen 
