A: 	deze hebben een piramide op het dak 
A: 	en een heel raar blok aan de voorkant 
B: 	ja 
B: 	en iets aan de onderkant en één cilindertje naar links 
A: 	en die zijn nog een soort champagnefle aan de zijkant 
B: 	ja ja ja 
B: 	dat zijn bij mij zijn dat J 
B: 	dit zijn die met die piramide op dat hoofd 
B: 	en die een fles aan de links kant 
A: 	ja 
A: 	dat zijn nummer zes 
A: 	met die piramide op zijn dak en die champagnefle 
B: 	ja dat zijn bij mij E 
B: 	dit zijn met de kegel bovenop en het fles aan de links kant 
B: 	piramide soort bovenop 
A: 	ja 
A: 	ja dat zijn nummer tien 
A: 	de piramide met de champagnefle 
B: 	waar zijn je 
B: 	ja dat zijn G 
B: 	de driehoek op het hoofd en het fles aan de links kant 
A: 	tien 
