A: 	ja 
B: 	okan ja dit moeten mij één doen me beetje denken aan een fabriek of zo omdat er zeggen maar een buis Ronde buis komen een beetje schuin naar beneden lopen en aan de linkerkant zitten zo'n 
B: 	rechthoekig buis Buis ja vierkant buis en bovenop zitten twee klein buisjes 
A: 	hebben hij ook dat het plateau dinge in het midden zeggen maar 
B: 	o ja ja die zitten er ook ja 
A: 	ok 
A: 	ja 
A: 	dan zijn het zes 
B: 	ok bij mij H dan moeten jij ja 
A: 	ja 
A: 	kunnen me niet veel herinneren wat jij hiervan vinden maar ik vinden het beetje een meisje in een rok omdat ze dat plateau zeggen maar in het midden hebben 
B: 	o dat waarbij ik denken dat zijn een fabriek 
B: 	o ja ja ja dat zijn bij mij C 
A: 	ja 
A: 	bij mij zestien 
B: 	dit zijn waarvan ik denken een fabriek en jij een een meisje met een rok 
A: 	zijn dertien 
B: 	ja 
B: 	ok bij mij I 
A: 	ok 
A: 	dit zijn de fabriek Slash het dansen meisje of nee gewoon het meisje niet per se dansen 
B: 	o die die 
B: 	ok even kijken waar die nou o daar zijn hij J 
A: 	ja vijftien bij mij 
B: 	o dan moeten ik klikken 
B: 	dit zijn weer dat meisje en de fabriek 
A: 	ja zijn negen bij mij 
B: 	ok bij mij M 
A: 	dit zijn de fabriek meisje 
B: 	even kijken waar ze zijn o daar ze zijn dat gaan lekker ze slapen daarin bij mij zijn dat N 
A: 	ok 
