A: 	nu hebben ik 
A: 	ja het enig met zo'n lang balk zeggen maar 
B: 	vooraan een lang balk 
A: 	ja 
A: 	ja 
B: 	en liggen daarbovenop een bolle 
A: 	ja 
A: 	en dan twee armp 
B: 	ja 
B: 	d 
A: 	wie zijn ? jouw beurt 
B: 	dit zijn zo'n ding met een lang balk 
B: 	lijken lijken gewoon op een hoog toren zeggen maar en bovenin bovenop liggen een bol op het plaat 
A: 	ja 
A: 	en dan 
B: 	aan de zijkant van die 
A: 	dat kunnen je twee tubes of zo weten ik veel 
B: 	ja 
A: 	oké 
A: 	vijftien 
A: 	bij mij ook 
A: 	ja dat dat lang balk en dan waar zeggen maar zo'n beker aan hangen lijken het wel 
B: 	even 
A: 	en dan zo'n bol erop 
B: 	ja die bol bovenop en dan één toren van het World Trade Center lijken het 
A: 	juist 
A: 	weten je het gaan lekker 
B: 	L 
B: 	met die rond bovenop die bol zeggen maar en dan weer die lang balk aan de voorkant 
A: 	en die twee 
B: 	ja 
A: 	nummer zes 
A: 	die Empire State Building zeggen maar of wat het zijn 
B: 	ja 
A: 	en dan zo'n bal erop 
B: 	ja 
A: 	en die twee arm 
B: 	die bol en dan weer die World Trade Center 
A: 	drie 
