B: 	ja 
B: 	ik hebben 
A: 	jij moeten nog een keer 
B: 	ik ja nu nu moeten ik 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ja ik zien twee klein echt minikegelt 
B: 	en beetje onderaan hebben ik hebben je zo'n zo'n soort vierkant eromheen 
B: 	en aan de voorkant een een wat groot ja soort groot wat groot kegel 
B: 	die verbinden dus de het ja het oppervlak met met dat vierkant ding eromheen 
B: 	zien je dan wat ik bedoelen 
B: 	en aan de 
A: 	aan de onderkant 
B: 	wat zeggen je 
B: 	ja aan de onderkant bijna aan de onderkant hebben je zo'n vierkant ding eromheen 
B: 	en bovenop dat ding staan twee van die kegel 
A: 	ja 
A: 	ik weten welk het zijn 
B: 	okee 
A: 	ja 
B: 	mooi 
A: 	drie 
B: 	mooi 
A: 	deze zijn degeen waar dat vierkant recht door het figuur heen gaan 
A: 	dus dat het er zo omheen zitten 
A: 	met zo'n cilinder die er voorop liggen 
B: 	ja 
A: 	en dan die twee klein rechthoek erbovenop 
B: 	ah ja ja ik hebben hem ik zijn ernaar op zoek ik weten welk je bedoelen maar het zijn 
A: 	ja 
A: 	ja 
B: 	okee g 
B: 	deze zijn met dat vierkant erdoorheen 
B: 	en die klein blok op de bovenkant 
A: 	ja zes 
A: 	dit zijn met dat vierkant door het figuur heen met die staaf aan de voorkant en de twee blok bovenop 
B: 	ah ja ja dat zijn b 
B: 	ja dit zijn dat ding waar die vierkant doorheen gaan 
B: 	en bovenop hebben hebben je twee van die echt minikegelt 
A: 	ja vijfteen 
A: 	twee klein rechthoek bovenop en het vierkant erdoorheen 
B: 	ja 
B: 	even hoe kunnen dat nou hoe 
B: 	ja ja ja p 
