B: 	ik noemen hem eerder met de slurf het zijn een beker waar een soort een soort draaien bocht uit komen met een driehoek eronder 
A: 	een driehoek door een gedraai gedraaide bocht die 
A: 	ja 
A: 	dat zijn zitten er ook nog drie stuk boven 
B: 	ja 
A: 	ja dat zijn vier 
A: 	en ja weer een mokje met drie ding erop en dan soort gaan een soort van spiraal naar beneden naar de driehoek 
B: 	ja 
A: 	een soort van een soort van uitsteeksel 
B: 	oké 
B: 	dat zijn A 
B: 	oké dit zijn het kop met de slurf die draaien lopen en eindigen in een driehoek 
A: 	ah ja 
A: 	dat zijn tien 
A: 	ik hebben zo ik hebben de beetje spaghetti weten je wel die cirkelspaghetti hoe noemen je dat ook alweer 
A: 	spaghetti hoe noemen je hem hoe moeten hoe moeten ik het noemen tenminste hij zijn er zitten een verlenging onder met een driehoek eronder 
A: 	hoe noemen je die spaghetti ook alweer 
A: 	ik kunnen hem ik kunnen hem nee maar er zitten een er zitten een vierkant er zitten een er zitten een kop en daar zitten een vierkant op een klein vierkant en een groot vierkant naast 
A: 	en er zitten een uitsteeksel aan en daaronder zitten een soort van het maken een soort van cirkel 
A: 	tenminste het maken een knik 
B: 	eronder zitten een cirkel 
A: 	het zijn geen cirkel maar maar het zijn geen cirkel maar het zijn een rechthoek die soort van draaien 
A: 	en dan daaronder zitten een driehoek 
A: 	die op de grond zitten 
B: 	ja die slurf 
A: 	ja die slurf maar hoe noemen je hoe noemen je dat ook alweer een soort van van spaghetti die dezelfde vorm maken als spaghetti 
A: 	of macaroni 
A: 	macarconivorm 
A: 	die die die verlenging naar de driehoek 
B: 	ja ik weten niet het zijn gewoon Spiraalachtig 
A: 	hoe noemen je dat ook alweer 
A: 	ja spiraal zijn een goed woord denken ik om het te onthouden 
B: 	dat zijn L 
B: 	dit zijn die met de spiraalvorm en de driehoek 
A: 	ah ja even kijken waar zitten die dan 
A: 	vier 
A: 	ja weer de spiraal met driehoek 
B: 	ja 
A: 	op de bodem 
B: 	dat zijn F 
