A: 	deze ik vinden het hier zo'n uitsteeksel een soort van toren omhoog 
A: 	aan zo'n plateau 
B: 	zijn dat die soort van toeter of 
A: 	ja het lijken wel op een toeter inderdaad zeggen maar het zijn een uitsteeksel daar staan de toeter op en dan hebben die ook nog een plateau 
B: 	ja ja dat zijn L 
A: 	oké 
B: 	het zijn die trompetachtige met dat plateau en het dinge waar dat 
A: 	ja ik weten welk je bedoelen 
A: 	ja de die trompet ja dat zijn nummer zeven 
A: 	dit zijn diegene met het plateau en de trompet 
A: 	vinden jij volgens mij of toeter 
B: 	C 
B: 	het zijn die toeter met dat plateau 
A: 	ja 
A: 	even zoeken 
A: 	ja één 
A: 	dit zijn de met het plateau en de toeter trompet toren 
B: 	A 
B: 	ja 
B: 	het zijn die met die trompet toeterachtig dinge 
A: 	ja even kijken ja dertien 
