B: 	ik hebben deze omschrijven als een dik space shuttle 
B: 	ja het lijken een beetje op een rake alleen omdat het een kop zijn zijn hij een beetje dik 
B: 	en hij hebben een vierkant jengablok plat liggen op de bovenkant 
A: 	ja en en links en rechts zitten ook iets klein 
B: 	ja als je als je het frontaal bekijken dan hebben hij een een driehoekig steel wat naar voren wijzen maar als je het in zijn totaliteit bekijken lijken het op een rake 
A: 	kloppen dat 
B: 	dik raket 
A: 	nou ik twijfelen nou of dat hem zijn 
A: 	zitten er link en rechts dus allebei een soort van dinge en er liggen inderdaad een blok op de dinge 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	ik 
B: 	ja 
A: 	okee dan zijn het zestien 
B: 	je hebben echt die vleugel zeggen maar 
A: 	ja ik vinden er nog één ook op een ik zullen deze veel op een raket zeggen 
A: 	deze hebben een balk op het beker liggen 
A: 	ja dit zijn jou space shuttle 
B: 	dit zijn mijn space shuttle 
A: 	ja ja 
B: 	yes yes dat zijn f 
B: 	mijn dik space shuttle 
B: 	met het jengablokje daarboven 
A: 	waar zijn die zes nummer zes 
A: 	dit zijn je space shuttle 
B: 	space shuttle 
A: 	even kijken waar zijn die 
A: 	acht 
A: 	je space shuttle 
B: 	space shuttle where you at 
B: 	dat zijn j 
