B: 	ja nou we hebben de de adapter weer 
A: 	de adapter weer 
A: 	de ouderwets adapter die ik net omschrijven 
B: 	ja 
B: 	ja 
A: 	oké dat zijn dan negen 
A: 	het zijn net alsof er twee wolkenkrabber in het kop zijn boord 
B: 	ja die 
A: 	en met zo'n antenne daarboven en dan zo'n plaat zeggen maar 
B: 	ja 
B: 	dat zijn G 
B: 	ja dit zijn die met die twee wolkenkrabber 
B: 	die tegenaan 
A: 	ja 
A: 	ja en die antennetje of wat het ook zijn omhoog 
B: 	ja ja ja 
A: 	negen 
A: 	dit zijn de one's de twee wolkenkrabber die erin zitten 
B: 	ja 
B: 	d 
B: 	dit zijn die twee wolkenkrabber 
A: 	ja 
A: 	even kijken waar die zijn blijven 
A: 	met die antenne boven zijn het 
B: 	ja 
A: 	ja 
A: 	één 
A: 	niet hetzelfde 
A: 	de twee wolkenkrabber die erin zijn boord 
A: 	ja 
B: 	B 
