B: 	er zitten aan de linkerkant zitten een soort van vorm die lijken op een soort van hoef van een paard 
B: 	en dan bovenop zitten een zeggen maar een horizontaal hoe heten dat ook alweer een rechthoek 
B: 	en dan aan de voorkant van het ding zitten zeggen maar aan de rechterkant zitten er een soort van driehoek die daar uit komen met een staaf daar recht bovenop 
B: 	als je zeggen maar kijken naar de vorm van links beneden 
B: 	dan lijken er iets wat een beetje het gaan zeggen maar een beetje als een soort van glijbaan die een beetje rond eindigen 
A: 	beetje rond eindigen 
B: 	ja 
A: 	nee ik zullen deze niet zomaar zien 
B: 	misschien goed met bovenop zeggen maar een heel dun rechthoek die erbovenop liggen 
A: 	okee ik denken dat ik weten welk je bedoelen 
B: 	ja 
A: 	er zitten ja 
A: 	aan de rechterkant een beetje een een balk met een dinge er erop staan 
B: 	ja met de dinge er recht op 
A: 	ja volgens mij weten ik hem 
B: 	ja 
B: 	denken het ook 
A: 	dat zijn vier 
B: 	okee 
A: 	dit zijn de kopvorm met de ja eigenlijk een balk die erbovenop liggen 
A: 	aan de linkerkant 
A: 	jij beschrijven het als een een beetje een 
B: 	een hoeven 
A: 	ja een hoeven zo'n glijbaanvormpje naar beneden 
B: 	ja ja ja 
B: 	en dan met die er zijn een balk eruit met een staaf rechtop 
A: 	ja 
A: 	die 
B: 	ja 
B: 	g 
B: 	dit zijn degeen die ik de heel tijd beschrijf als de hoefvorm aan de linkerkant 
A: 	ja met het blok erbovenop en 
B: 	ja 
A: 	ja dat zijn zes 
A: 	even kijken dit zijn die met het hoefijzer 
B: 	ja 
A: 	aan de linkerkant 
A: 	en de balk bovenop 
B: 	even zoeken 
B: 	ja 
B: 	j 
A: 	yes 
B: 	dit zijn degeen met de hoefvorm en de balk die erbovenop liggen 
A: 	ja 
A: 	dertien 
A: 	dit zijn die met het hoefijzer aan de linkerkant 
B: 	ja 
A: 	en de balk aan de bovenkant 
B: 	ja ik moeten hem even zoeken 
B: 	ja 
B: 	a 
