A: 	bovenop het kop hebben je een soort driehoek of eigenlijk zijn het een vierkantje maar je zien niet helemaal veel het punt ervan en daar doorheen zitten er iets doorheen steken 
A: 	een soort staaf met vierkant 
A: 	en onder het kop zijn eigenlijk hij hebben een soort van één pootje 
B: 	ja dus op de bovenkant zitten zo'n ruitvormig 
A: 	ja 
B: 	ja dan zijn het N 
A: 	oké 
B: 	oké hier zitten een ruit op het kop met twee van die schroef erin 
B: 	dus van die blok die steeds klein worden 
A: 	ja 
A: 	ja en dan hebben hij zo'n plat vierkant aan de voorkant 
B: 	nee 
A: 	of zijn dat weer een ander 
B: 	nee dat zijn dan toch een ander 
A: 	oké 
A: 	je zeggen met die blok die steeds klein worden 
B: 	ja 
A: 	en wat hebben je nog veel 
B: 	dus aan de bovenkant zitten er een ruit die gaan voor de helft het kop in 
A: 	ja en daar onder hebben je een soort poo 
B: 	en er zitten 
B: 	ja 
A: 	oké nummer vijf 
A: 	oké hier hebben dat kop hebben een poo aan de onderkant 
A: 	als enig dat zijn zo'n krulle beetje zo'n 
B: 	ja 
A: 	en daar boven hebben hij zo'n vierkant wat half van die blok , vierkant blok , dat door een soort driehoek of een vierkant lopen 
B: 	die ruit bedoelen je 
A: 	ja die ruit 
B: 	ja dat zijn F 
B: 	en dit zijn met de ruit op het kop met de schroef eraan 
A: 	even kijken 
A: 	de ruit , ja 
A: 	nummer negen 
A: 	oké die hebben dat poo aan de onderkant 
A: 	daar boven hebben hij dan zo'n ruit waar dat schroef doorheen zitten 
B: 	ja dat zijn E 
B: 	de ruit de ruit met de twee schroef aan allebei de kant 
A: 	even kijken 
B: 	op het kop 
A: 	ja met een soort poo eronder 
B: 	ja 
A: 	nummer drie 
